Attraction,location,info
하나로회관,서울 종로구,2대에 걸쳐 운영되는 한정식 전문점
소문난성수감자탕 별관,서울 성동구,스타 쉐프도 인정한 감자탕 맛집
진미옥설농탕,서울 송파구,추위를 날려줄 따뜻한 명품 설렁탕
꽃새우 영번지,서울 강남구,회식장소로 좋은 해산물 전문점
해주냉면 본점,서울 송파구,매운 냉면 전문점
충무로부산복집,서울 송파구,시원하고 담백한 맛이 일품인 복요리 전문점
평창동북악정 신관,서울 종로구,30년 넘는 전통 방식의 노하우로 맛이 일품인 평창동 북악정
계림식당,서울 종로구,닭볶음탕만을 전문으로 하는 곳
자하손만두,서울 종로구,미쉐린 가이드에도 올라온 만두집
키누카누,서울 강서구,저렴한 가격에 호텔식 스시 뷔페를 만날 수 있는 초밥맛집
황생가칼국수,서울 종로구,사골칼국수와 속이 꽉 찬 얇은 피의 만두가 맛있는 가게
부민옥,서울 중구,미식가들의 인기를 한몸에
김가네가마솥설렁탕,서울 강서구,홍성 한우를 직접 손질해 요리하는 곳 
동작노을카페,서울 동작구,한강뷰맛집 카페
비언유주얼,서울 강남구,특별한 날을 더욱 특별하게 하는 법
청송옥,서울 중구,쇠고기 장터국밥의 오래된 대표 맛집
코코넛박스 카페,서울 마포구,NFT 작품을 체험할 수 있는 아트플레이스
동방명주 충무로점,서울 중구,불맛 나는 중국 음식을 맛볼 수 있는 곳
소선재,서울 종로구,한옥 특유의 아늑함 속에서 즐기는 깔끔한 한식요리
쭈꾸미킹2.0 상봉점,서울 중랑구,직화구이 주꾸미볶음과 수제 피자를 맛볼 수 있는 곳
와이키키마켓,서울 마포구,도심 속 선상에서 즐기는 야외 감성 캠핑 바비큐
강북구 서당골,서울 강북구,고향 시골집같은 포근함
켄싱턴호텔 여의도 뉴욕뉴욕,서울 영등포구,뉴욕 스테이크 전통의 맛
남산골산채집,서울 중구,"건강하고 맛있는 한 끼, 남산 데이트 코스로 딱 좋은 맛집"
중구 베테랑칼국수,서울 중구,"메뉴는 칼국수, 만두, 쫄면 3가지로 계란과 김을 푼 국물에 고춧가루와 들깨가루를 듬뿍 뿌린 고소한 맛이 특징인 칼국수가 인기 메뉴이다."
꽃밥에피다,서울 종로구,건강하고 아름다운 친환경 레스토랑
패션5,서울 용산구,다양한 디저트를 볼 수 있는 프리미엄 갤러리카페
페르시안궁전,서울 종로구,이란 출신 쉐프가 조리하는 할랄 음식점
강동 오늘손칼국수,서울 강동구,줄서서 먹는 해물찜과 칼국수 맛집
필경재,서울 강남구,고택에서 궁중음식을 맛볼 수 있는 곳 
송림식당,서울 광진구,꾸준히 사랑받는 돼지불백 전문점 
일일향 논현2호점,서울 강남구,중화요리를 대표하는 향과 신선한 식자재의 조화로 한국인 입맛에 딱 맞는 요리가 탄생하는 '일일향'
서초동노랑저고리,서울 서초구,한옥에서 즐기는 한상요리
중구 송원,서울 중구,달달한 불고기 맛집으로 지역 명소가 된 곳
신당동천팥죽,서울 중구,좋은 품질의 재료와 끊없는 정성
동흥관,서울 금천구,70년 전통의 수타짜장면
강남구 카페엠,서울 강남구,도심 속 청량함을 즐길 수 있는 청담 플랜테리어 카페 
송림가,서울 구로구,"30년 이상 명맥을 이어온 숯불갈비, 한정식 전문점"
63뷔페 파빌리온,서울 영등포구,63빌딩에서 즐기는 고급 레스토랑 같은 뷔페
강강술래신림본동점,서울 관악구,명장의 세월이 조미한 깊은 풍미
송추가마골 은평1호점,서울 은평구,오랜 정성을 들인 갈비탕과 갈비가 맛있는 곳
봉래헌(메이필드호텔),서울 강서구,맛깔스럽고 격조 있는 궁중 한정식 전문점
꾸에바마테라,서울 용산구,동화 속 감성의 이색카페
고려삼계탕,서울 중구,토종닭과 산삼으로 깊은 맛을 낸 삼계탕 맛집
금천구춘천옥,서울 금천구,가산디지털단지에 자리한 보쌈과 막국수 맛집 
인크커피 가산점,서울 금천구,돔 형태의 독특한 베이커리 카페
성북동누룽지백숙,서울 성북구,담백한 닭고기와 구수한 찹쌀 누룽지의 조화
고래불,서울 강남구,산지 직송 해온 국내산 재료로 만드는 해산물 요리 전문점
배정철어도,서울 강남구,신선한 해산물이 가득한 일식당
아이러브신당동떡볶이,서울 중구,30여 년의 역사를 가진 떡볶이집
케르반레스토랑,서울 용산구,세계 3대 요리 중 하나인 터키 요리
진주집,서울 영등포구,직장인들이 사랑하는 콩국수 맛집 '진주집'
호남식당,서울 중구,도망간 입맛도 돌아온다는 명품 갈치조림
서대문수빈,서울 서대문구,가정집을 개조한 아늑한 분위기의 한정식집
여의도백리향,서울 영등포구,한강 전망을 보면서 중국 음식을 맛볼 수 있는 음식점
송파구횡성한우,서울 송파구,질좋은 한우 앙념갈비가 맛있는 집
도봉구대문한정식,서울 도봉구,엄마의 손맛이 느껴지는 푸근한 밥집
촛불1978,서울 중구,"프러포즈, 데이트 명소로 유명한 촛불1978"
평안도족발집,서울 중구,족발거리 원조 맛집!
청와옥 본점,서울 송파구,고급 한정식집과 같은 분위기의 순대국밥집
서대문구형제갈비,서울 서대문구,50년 동안 신촌을 지키고 있는 형제갈비
송화산시도삭면,서울 광진구,중국의 맛 그대로 만든 산시도삭면과 딤섬
참만나,서울 노원구,참 숯에 구워 먹는 돼지왕갈비 전문점
제일콩집,서울 노원구,매일 아침 손으로 직접 만들어 전통의 맛과 영양이 풍부한 무공해 콩 요리 전문점
무교동 북어국집,서울 중구,뜨끈하고 든든한 한끼를 먹을 수 있는 북어해장국 맛집
전민규의황제누룽지탕 노원직영점,서울 노원구,해산물과 누룽지를 뚝배기로 끓여 더 맛있는 곳      
WANGTHAI,서울 용산구,태국 정통 요리 인증 마크(타이셀렉트)를 획득한 태국 음식 전문점
성수살라댕템플,서울 성동구,비밀의 신전 속에서 특별한 만찬이 펼쳐지는 살라댕템플
관훈동 산촌,서울 종로구,천연 그대로의 맛을 즐길 수 있는 사찰 음식 전문점
로씨니,서울 종로구,"맛있는 음식과 좋은 와인, 그리고 편안한 서비스"
대도식당 왕십리본점,서울 성동구,60년 전통의 한우 요리를 맛볼 수 있는 왕십리 맛집
산채향,서울 중구,향긋한 더덕향이 가득한 음식점
사간동푸드떼,서울 종로구,"차와 과자, 그리고 도자기"
마포삼다코지,서울 마포구,도심 속 제주를 느낄 수 있는 제주삼다수 플래그십스토어
옛날집낙원아구찜,서울 종로구,낙원도 아귀찜 거리 터줏대감
영일분식,서울 영등포구,50년 전통의 문래동 칼국수 맛집
아재왔소,서울 도봉구,다양한 한식 요리를 즐길 수 있는 곳
르몽블랑,서울 용산구,눈도 입도 즐거운 해방촌 루프탑 이색카페!
대치동중앙해장,서울 강남구,국내산 양질의 재료로 끓여 내는 시원 칼칼한 해장국
고궁의 아침,서울 종로구, 창경궁 인근에 위치한 돼지갈비 전문점
성북동돼지갈비본점,서울 성북구,혼밥하기 좋은 돼지갈비 기사식당
강동황도바지락칼국수,서울 강동구,시원한 국물이 일품인 바지락칼국수 전문점
금왕돈까스 본점,서울 성북구,바삭한 튀김옷과 소스의 조화가 환상적인 돈까스 전문점
운산,서울 영등포구,여의도에 자리한 한국 전통음식 전문점 
서초구통나무집,서울 서초구,정원이 예쁜 한우구이 맛집 '통나무집'
설마중,서울 서초구,최고급 갈비와 한정식 코스 요리가 빚어내는 맛의 향연
강서도일처,서울 강서구,고급스러운 중식을 맛보고 싶다면!
강남곰바위,서울 강남구,미쉐린 가이드 서울 2022
드럼통 참숯석쇠구이,서울 송파구,선선한 날씨와 야외에서 고기를 즐기고 싶은 날
종로구밀림,서울 종로구,절벽이 그림처럼 펼쳐지는 태국식 북부요리 전문 레스토랑
인사동 촌,서울 종로구,담백하고 풍성한 맛이 일품인 한식 전문점
대호정,서울 금천구,일관성 있는 맛으로 오랜 명맥을 유지하는 맛집
아델라베일리,서울 종로구,뷰 좋은 테라스 레스토랑
삼대할먼네,서울 중구,역사와 전통이 있는 식당
용산구기와,서울 용산구,샐러드바와 한정식의 조화가 있는 코리아 패밀리 레스토랑
을지다방,서울 중구,뉴트로 감성 물씬 풍기는 매력적인 카페
해담채 남부터미널점,서울 서초구,편하게 즐겨보는 일식요리
감꽃당,서울 종로구,한옥의 아름다움을 고스란히 간직하고 있는 카페
국화정원,서울 성북구,장성을 가득 담아 만드는 한식 전문점
뽐모도로,서울 종로구,광화문에서 맛보는 추억의 스파게티
트레스드,서울 송파구,디저트가 맛있는 잠실새내 감성카페
수유동가문,서울 강북구,고급스러운 분위기의 중국 전통 요리집
북한산 큰숲 제빵소,서울 은평구,기존 주택을 개조하여 예술을 입히다
다래함박스텍,서울 강북구,주택가에 있는 평범한 일반 식당이지만 방송과 입소문을 타고 인기 식당으로 부상한 곳
뱃고동,서울 강남구,낙지불고기와 오징어튀김이 유명한 압구정 뱃고동
한강파라다이스,서울 영등포구,한강의 아름다운 전경이 한눈에 보이는 식당
미가할매집,서울 관악구,가족들과 가기 좋은 숯불구이 한정식
서울서둘째로잘하는집,서울 종로구,소박한 분위기의 단팥죽으로 꾸준히 사랑받는 곳
자인뭉티기,서울 서초구,한식요리 전문점
양반댁,서울 종로구,고급스러운 인사동 한정식
미자식당,서울 동작구,노량진수산시장 대표 터줏대감
평안도만두집,서울 종로구,단백한 맛이 일품인  이북식 음식을 맛볼 수 있는 식당
지화자,서울 종로구,조선왕조 궁중음식을 맛볼 수 있는 식당
인사동그집,서울 종로구,정갈한 우리음식을 더욱 맛나게!
라칸티나,서울 중구,한국 최초의 이탈리안 레스토랑
동적불고기깡통구이 쌍문 본점,서울 도봉구,쌍문역 근처 숯불구이 고기가 맛있는 곳
어양,서울 송파구,1995년에 문을 연 방이동 어양은 18세부터 요리를 시작한 왕수강 주방장이 운영하는 중국요리 전문점
서래본갈비,서울 서초구,1++ 등급의 한우 꽃등심과 생갈비를 맛볼 수 있는 곳
단미그린비,서울 강남구,고급스럽고 깔끔한 시간
갯마을,서울 용산구,친절한 서비스와 깔끔한 음식
그리츠 레스토랑,서울 영등포구,눈과 입을 모두 만족시키는 식사
아승지,서울 영등포구,모든 손님들의 복과 지혜가 한량없고 무량하기를 
광장싸롱 1961,서울 종로구,색다른 한방차를 맛볼 수 있는 이색 카페
태림산채정식,서울 도봉구,오랜 전통의 한식 전문점
을지로 원형들,서울 중구,고수케이크의 맛
산도토리임자탕,서울 도봉구,고소하고 쫀득한 도토리 수제비가 맛있는 곳
향림,서울 노원구,"정성가득, 풍미가득한 중식요리"
금용문,서울 종로구,최고의 주방장이 선보이는 고품격 중식당
깃대봉냉면,서울 종로구,6단계의 매운맛 조절이 가능한 냉면 맛집
순희네빈대떡,서울 종로구,소문난 빈대떡 전문점
곰국시집 명동,서울 중구,고소한 양지수육과 부드러운 전골국수
만강 수서점,서울 강남구,정갈한 남도음식을 맛볼 수 있는 곳
해담채 서여의도점,서울 영등포구,남도의 식재료를 활용한 정갈한 해초 바다요리 전문점
다락정,서울 종로구,손맛 가득한 만두전골 전문점
백원,서울 영등포구,고급 식재료로 정성스레 요리하는 중식당
아리차이,서울 관악구,한국인의 입맛에 맞는 다양한 정통 중국 음식
익선동 그집,서울 종로구,서울 5호선 종로3가역 5번출구 맛집
먹고을전주콩나물국밥 묵동본점,서울 중랑구,남도의 맛 매생이탕을 먹을 수 있는 곳
명품기사식당뚝다리김치찌개,서울 강동구,한식요리 전문점
요리하는남자,서울 송파구, 편안한 식사를  즐길 수 있는 이탈리안 캐주얼 레스토랑
성수족발,서울 성동구,서울 3대 족발로 불리는 성수족발
키미아트,서울 종로구,"다양한 작가, 다양한 작품"
문배동 육칼,서울 용산구,얼큰한 육개장 칼국수가 일품인 식당
청담골,서울 강남구,착한 가격에 속까지 든든한 가정식 백반
몽실이네 토종한우,서울 성동구,양질의 우수한 한우를 요리하는 곳
미진,서울 종로구,피맛골의 66년 전통 메밀국수집
동심한정식,서울 중구,한식요리 전문점
남원추어탕 풍천장어,서울 강남구,국내산 최상급 미꾸라지만을 사용하는 추어탕 맛집
산삼청각,서울 송파구,한옥식 건물에서 숯불구이
테르트르카페,서울 종로구,서울의 전경을 한눈에 담을 수 있는 뷰를 갖춘 카페
최수사 대게마을,서울 강남구,고급스럽고 풍미를 느낄 수 있는 대게를 분위기 있게 먹을 수 있는 곳
정식당,서울 강남구,"특별한 날, 특별한 한식"
인사동큰집,서울 종로구,분위기 좋은 인사동 한정식
옥류헌릴렉스,서울 강북구,자연과 함께 즐기는 우이동 계곡 카페
위대한밥상 영광,서울 서초구,영광굴비를 맛볼 수 있는 전라도 토속 한정식집
부일갈비,서울 서초구,고급스러운 소갈비의 풍미를 느낄수 있는 소고이전문점
툭툭누들타이,서울 마포구,연남동에서 떠나는 태국여행
금강수림,서울 강남구,집 나간 입맛도 돌아온다는 장어 요리 전문점
세상의모든아침,서울 영등포구,드라마 펜트하우스 촬영 장소로도 유명한 곳
조선옥,서울 중구,오랜 전통을 간직한 양념소갈비 전문점
미 피아체,서울 강남구,코스와 단품 식사가 모두 가능한 고급 레스토랑
창성옥,서울 용산구,용산 해장국 맛집
갯마을풍천장어,서울 도봉구,입맛을 돋우는 보양식 맛집
최대감네,서울 종로구,고즈넉한 한옥집에서 맛보는 한식 밥상
삼해집,서울 종로구,신선한 굴과 부드러운 보쌈의 맛이 일품인 식당
유진막국수,서울 용산구,막국수 전통의 내공이 느껴지는 이태원 족발집
눈나무집,서울 종로구,김치말이 국수로 유명해진 음식점
불맛감자국,서울 은평구,매운 맛으로 변경이 가능한 감자탕집
해담채 강남점,서울 강남구,"우리 바다, 남도의 식탁을 서울 강남에서 즐길 수 있는 음식점"
초우마을,서울 동대문구,최고품질의 생고기 전문점
대상해,서울 중구,사천식에 북경식을 가미한 독특한 북경 사천요리
왕돈까스&왕냉면,서울 관악구,서울 관악구 신림동에 있는 음식점
루위,서울 강남구,중식 요리의 진수를 보여주는 곳
아리아,서울 중구,깔끔하고 다양한 음식을 한번에 즐길 수 있는 곳
에도긴,서울 강남구,자연산 생선을 이용한 음식을 선보이는 일식 전문점
초록뜰,서울 동대문구,건강한 재료로 정성껏 만드는 채식 밥상
안성또순이,서울 동작구,"노량진 수산시장에서 구매한 해산물을 양념, 요리해주는 공간"
달 카페,서울 종로구,분위기 있는 곳에서의 행복한 시간
다리원,서울 은평구,원조 철판 해물 누룽지탕을 맛볼 수 있는 곳
동해복집,서울 노원구, 담백하고 고소한 복어의 매력에 빠질 수 있는 복어전문점
톰볼라,서울 서초구,서래마을 조용한 골목 한편에 위치한 전통 이탈리안 가정식 레스토랑
엄마손칼국수,서울 노원구,30년 전통 당고개역 진짜 진한 만두전골집
고바우소곱창,서울 노원구,부드럽고 고소한 곱창구이를 맛볼 수 있는 곳
장꼬방김치찌개전문,서울 서초구,한 끼 든든하게 먹기
청송본관함흥냉면,서울 서대문구,쫄깃하고 감칠맛 나는 냉면
참숯골,서울 중구, 숯의 향과 좋은 고기의 맛을 그대로 느낄 수 있는 식당
골목집,서울 영등포구,합리적인 가격에 다양한 오리요리를 즐길 수 있는 식당
모뜨,서울 종로구,멋진 루프탑에서 바라보는 경치가 아름다운 카페
셀프하우스,서울 강동구,마늘로 맛을 내는 떡볶이 전문점
삼성 빨간양념 숯불구이,서울 중구,북창동 빨간 주물럭 맛집
진남포면옥,서울 중구,냉면 전문점이지만 이북식 찜닭이 유명한 곳
성북동집,서울 성북구,부드럽고 깔끔한 맛의 손칼국수와 담백한 맛을 내는 만두가 유명한 집
삿뽀로 목동점,서울 양천구,양천구 목동의 가족 모임 명소
갓잇(god eat),서울 강남구,"GOD EAT, 신이 먹을 만큼 맛있고 건강한 음식"
내자상회,서울 종로구,힙한 한옥에서 쑥 디저트 한 상 맛보자 !
우리강산,서울 송파구,참숯으로 구워 낸 생갈비로 유명한 곳
방이샤브샤브칼국수 방이본점,서울 송파구,칼칼한 버섯 칼국수를 맛볼 수 있는 곳
자원대구탕,서울 용산구,오랜 시간 동네를 지켜온 대구탕 맛집
정감어린,서울 용산구,장인 정신이 깃든 한식 전문점
전주회관,서울 중구,오랜 전통을 이어온 한국 민속음식점
우정낙지,서울 노원구,매콤해서 계속 땡기는 낙지볶음이 일품인 식당
낙원(메이필드호텔),서울 강서구, 자연이 주는 여유로움과 편안함을 느낄 수 있는 곳
미우미우참숯구이,서울 송파구,품질 좋은 한우를 맛볼 수 있는 곳
용금옥,서울 중구,정성 가득한 서울식 추어탕
용문집,서울 성동구,마장동에서 가장 유명한 한우 전문점
부산복집,서울 중구,충무로 먹자골목의 명물 복어요리 전문점 
그릭조이,서울 마포구,그리스 본토의 요리 맛을 느낄 수 있는 식당
바바인디아 강남역점,서울 서초구, 서울에서 맛보는 정통 인도 요리
서울리즘,서울 송파구,롯데월드타워와 서울 시내를 한눈에 볼 수 있는 전망 좋은 바
홍능갈비집본점,서울 동대문구,55년 전통의 소갈비 전문점
곰국시집,서울 중구,고소한 양지수육과 부드러운 전골국수
까델루뽀,서울 종로구,동서양의 조화가 잘 이루어지는 이탈리아 레스토랑
이강순실비집,서울 종로구,오랜 전통의 매운 낙지볶음 전문점
영등포복집,서울 영등포구,오랜 전통을 간직한 담백한 고기맛의 복요리전문점
상인정신,서울 종로구, 셰프가 엄선한 신선하고 정성스러운 해물요리가 일품인 식당
늘푸른식당,서울 마포구,오랜 전통과 내공을 바탕으로 전을 굽는 맛집
홍원,서울 마포구,느끼함 없는 깔끔한 중식 요리가 일품인 곳
더 킹스,서울 중구,특급 호텔 최초 올라이브(All Live) 뷔페
해안반점,서울 강동구,다양한 중국요리를 즐길 수 있는 식당
로리스 더 프라임 립,서울 서초구,미국 현지 스타일로 즐기는 프라임 립 전문점
백제삼계탕,서울 중구,충주 설화 이야기가 내려오는
라 쿠치나,서울 용산구,오랜 전통의 이탈리안 전문 레스토랑
삼수갑산,서울 관악구,참숯에 구워 한우 본연의 육질과 맛을 느낄 수 있는 식당
스시겐,서울 마포구,일본다운 전통 일식의 진수를 볼 수 있는 곳
하모,서울 강남구,진주 음식 만드는 부엌
장군갈비,서울 광진구,육질이 뛰어난 갈비를 맛보고 싶다면
평래옥,서울 중구,시원한 초계탕 한 그릇
장군보쌈,서울 종로구,30년 넘는 전통의 굴보쌈 전문점
궁나라냉면묵밥,서울 종로구,더운 여름 도망간 입맛도 되돌아온다는 묵밥의 장인
모녀마약김밥,서울 종로구,40년 전통의 모녀마약김밥
갤러리카페 3안,서울 종로구,삼청동을 느낄 수 있는 아늑한 공간
장수촌 풍천장어,서울 종로구,고소하고 담백한 맛이 일품인 풍천장어 맛집
터치더스카이,서울 영등포구,아름다운 전망과 정통 프렌치 요리를 즐길 수 있는 곳
성북동 구포국수,서울 성북구,국수의 쫄깃한 맛
잇텐고,서울 마포구,부드러운 차슈와 특색있는 바질 라멘이 맛있는 식당
감나무집기사식당,서울 마포구,무한도전 나온 연남동 24시간 돼지불백 맛집
안동국시소람,서울 종로구,안동 국수 전문점
명문막국수,서울 성북구,여름철의 별미 막국수로 유명한 곳
슈치쿠,서울 영등포구,일본 정통 테크닉에 한국적 정서를 가미하다
청수횟집,서울 강남구, 동해안 청정해역에서 매일 직송되는 자연산 해산물을 맛볼 수 있는 곳
강서면옥,서울 중구,정통 이북식 평양냉면 전문점
진남회집,서울 동작구,신선한 회와 다양한 스끼다시의 세계를 맛볼 수 있는 식당
커피친구,서울 종로구,원두로 내린 핸드드립 커피와 클래식한 분위기가 좋은 카페
키다리아저씨,서울 마포구,좋은 재료로 빵을 굽는 동네 맛집
원조이화감자국,서울 은평구,넉넉하고 깊은 맛
상락원,서울 서초구,도심 속 한정식 전문점
더플레이스다이닝,서울 용산구,젊음과 낭만이 가득한 캐주얼 이탈리안 레스토랑
비노인빌라,서울 서초구,세미클래식 풍의 이탈리아 레스토랑
강남목장,서울 강남구,1등급 이상의 한우를 코스로 맛볼 수 있는 강남목장
학림다방,서울 종로구,복고풍의 분위기의 카페
마지,서울 종로구,자연의 맛을 느낄 수 있는 비건식당
BK볏짚 우대갈비 장안동본점,서울 동대문구,참숯과 볏짚으로 맛을낸 숙성 돼지갈비 전문점
풍류사랑,서울 종로구,정감 가는 분위기 속에서 즐기는 향토음식
부빙,서울 종로구,"종로핫플레이스, 줄 서는 빙수 맛집"
장프리고,서울 중구,냉장고 문을 열고 들어가는 동대문 이색 카페 겸 다이닝바
메이징에이,서울 중구,광동요리 전문 고급스러운 중식당
해품장팔팔장어,서울 노원구,풍천장어만을 고집하는 전통 장어집
은주정,서울 중구,쌈 싸먹는 이색 김치찌개맛집
외양간,서울 마포구,찢어 먹는 안심살이 있는 식당
레이지파머스,서울 용산구,비건을 맛있고 분위기 있게 즐길 수 있는 곳
아이해브어드림,서울 강남구,특별한 분위기와 맛있는 음식까지 한번에 즐겨보자 !
모모야마,서울 중구,국내 최고 수준의 스시와 일식 요리를 선보이는 곳
코리아하우스,서울 강남구,최상의 육질을 자랑하는 한우고기 전문점 
한쿡 N서울타워,서울 용산구,"한국의 전통적인 맛과 미, 현대의 편리함이 공존하는 고풍스러운 한식 레스토랑"
더 우리곱창,서울 종로구,곱창 전문점
헤이더그린,서울 강서구,반려견 동반할 수 있는 도심 속 정원 카페  
칠형제우리감자탕,서울 노원구,질 좋은 국내산 재료만으로 만든 감자탕 한 그릇
오라이등심,서울 종로구,광장시장속 추억의 노포맛집
동경,서울 종로구,일식 마니아들이 찾는 가락국수 전문점
황금정원,서울 도봉구,신선하고 푸짐한 쌈밥을 맛볼 수 있는 곳
늘푸른목장 잠실본점,서울 송파구,잠실에서 경주갈비살을 맛볼 수 있는 곳
백제추어탕 본점,서울 강동구,종류별 다양한 추어탕맛을 맛볼수 있는곳
몽중헌 청담점,서울 강남구,중국 명인이 직접 만드는 딤섬 중식당
충남식당,서울 동작구,싱싱한 맛이 살아있는 맛집
도읍지,서울 동대문구,백반요리 전문점
서울원조아구찜,서울 종로구,해산물이 싱싱하고 깔끔한 맛이 일품!
프로퍼커피바2호점,서울 송파구,분위기 좋은 송파 브런치 카페
우정,서울 중구,신당동떡볶이타운 소문난 떡볶이 맛집 우정
제주국수,서울 성동구,제주 토속음식 전문점 제주국수
사동면옥,서울 종로구,뜨끈한 만두전골과 왕만두가 일품인 맛집
두에꼬제,서울 용산구,매콤한 할라피뇨 파스타를 맛볼 수 있는 곳
진원조 닭한마리,서울 종로구,육수가 진하고 구수한 닭한마리 전문점
호남집,서울 종로구,동대문 생선구이 맛집
대풍간장게장생선구이,서울 서초구,신선한 재료로 만든 정성스러운 음식 
태조대림감자국,서울 은평구,부드러운 고기와 싱싱한 우거지의 환상의 조합 
산띠 서교점,서울 마포구,네팔 요리를 만나는 공간
신옛찻집,서울 종로구,따뜻한 온돌이 있는 전통찻집
청해진(강동구),서울 강동구,중소벤처기업부 인증 백년가게
마장갈비,서울 성동구,1982년부터 마장역 앞을 지켜 온 숯불구이 전문점 
엘샌드위치 종로점,서울 종로구,브런치 맛집
허형만의 압구정커피집,서울 강남구,향기롭고 깊은 맛의 핸드드립 커피
비스테까,서울 용산구,최고의 스테이크를 지향하는 정통 이탈리안 레스토랑 
함흥에겨울냉면,서울 중구,쫄깃한 함흥냉면의 진수를 맛보다
친니,서울 종로구,고품격 중화 레스토랑
장미삼계탕,서울 노원구,진정한 맛집 장미삼계탕
오다리집,서울 중구,가성비 간장게장 전문점
서석대,서울 서초구,한우고기 전문음식점
산들애건강밥상,서울 은평구,건강한 저염식으로 만드는 북한산 맛집
하이디라오 서초지점,서울 서초구,다양한 훠궈 요리를 맛볼 수 있는 서초동 맛집 
명동부대찌개 명동황기족발,서울 중구,부대찌개와 황기 족발을 함께 즐겨보자!
남포면옥,서울 중구,미쉐린 가이드에 선정된 냉면 맛집
진미평양냉면,서울 강남구,미슐랭 가이드 선정 평양냉면 맛집
아리랑,서울 중구,품질 좋은 한우
금돼지식당,서울 중구,방송에 소개된 고기요리 맛집
전주식당,서울 중구,갈치조림이 맛있는 남대문 맛집
전주유할머니비빔밥,서울 중구,오랜 전통의 한식 전문점
카페 폭포,서울 서대문구,시원한 폭포수가 흐르는 도심 속 휴식처 
국시집,서울 성북구,진하고 부드러운 칼국수를 맛볼 수 있는 곳
