Attraction,Category,type,Category_Map,Good_Point,Selected_People,Participants
가락농수산물종합도매시장,관광,shop_etc,편의,편의시설이 잘 되어있어요,1,12
가락농수산물종합도매시장,관광,shop_etc,매력도,야시장이 잘 되어있어요,1,12
가락농수산물종합도매시장,관광,shop_etc,만족도,가성비가 좋아요,1,12
가락농수산물종합도매시장,관광,shop_etc,편의,규모가 커요,1,12
가락농수산물종합도매시장,관광,shop_etc,매력도,트렌디해요,1,12
가락몰,관광,shop_etc,만족도,친절해요,8,12
가락몰,관광,shop_etc,편의,주차하기 편해요,6,12
가락몰,관광,shop_etc,매력도,볼거리가 많아요,5,12
가락몰,관광,shop_etc,편의,종류가 다양해요,3,12
가락몰,관광,shop_etc,매력도,특색 있는 제품이 많아요,2,12
가락몰,관광,shop_etc,만족도,품질이 좋아요,2,12
가락몰,관광,shop_etc,매력도,컨셉이 독특해요,1,12
가락몰,관광,shop_etc,편의,편의시설이 잘 되어있어요,1,12
가락몰,관광,shop_etc,매력도,야시장이 잘 되어있어요,1,12
가락몰,관광,shop_etc,만족도,가성비가 좋아요,1,12
가락몰,관광,shop_etc,편의,규모가 커요,1,12
가락몰,관광,shop_etc,매력도,트렌디해요,1,12
가회민화박물관,관광,culture,매력도,아이와 가기 좋아요,8,17
가회민화박물관,관광,culture,만족도,유익해요,8,17
가회민화박물관,관광,culture,매력도,체험 프로그램이 다양해요,5,17
가회민화박물관,관광,culture,만족도,가격이 합리적이에요,3,17
가회민화박물관,관광,culture,매력도,전시 구성이 알차요,2,17
가회민화박물관,관광,culture,만족도,설명이 잘 되어있어요,2,17
가회민화박물관,관광,culture,편의,공간이 넓어요,2,17
가회민화박물관,관광,culture,매력도,전시 테마가 재밌어요,1,17
가회민화박물관,관광,culture,편의,주차하기 편해요,1,17
가회민화박물관,관광,culture,매력도,사진이 잘 나와요,1,17
간송미술관,관광,history,만족도,유익해요,11,16
간송미술관,관광,history,매력도,전시 구성이 알차요,10,16
간송미술관,관광,history,만족도,설명이 잘 되어있어요,3,16
간송미술관,관광,history,매력도,전시 테마가 재밌어요,2,16
간송미술관,관광,history,매력도,아이와 가기 좋아요,2,16
간송미술관,관광,history,편의,주차하기 편해요,2,16
간송미술관,관광,history,매력도,사진이 잘 나와요,1,16
간송미술관,관광,history,편의,공간이 넓어요,1,16
강동그린웨이 가족캠핑장,관광,nature / experience,편의,깨끗해요,50,101
강동그린웨이 가족캠핑장,관광,nature / experience,편의,화장실이 잘 되어있어요,39,101
강동그린웨이 가족캠핑장,관광,nature / experience,편의,개수대가 잘 되어있어요,34,101
강동그린웨이 가족캠핑장,관광,nature / experience,편의,바비큐 해먹기 좋아요,27,101
강동그린웨이 가족캠핑장,관광,nature / experience,매력도,조용히 쉬기 좋아요,26,101
강동그린웨이 가족캠핑장,관광,nature / experience,편의,주차하기 편해요,25,101
강동그린웨이 가족캠핑장,관광,nature / experience,편의,공용시설 관리가 잘돼요,22,101
강동그린웨이 가족캠핑장,관광,nature / experience,편의,그늘이 많아요,15,101
강동그린웨이 가족캠핑장,관광,nature / experience,매력도,뷰가 좋아요,11,101
강동그린웨이 가족캠핑장,관광,nature / experience,편의,온수가 잘 나와요,9,101
강동그린웨이 가족캠핑장,관광,nature / experience,편의,사이트 간격이 넓어요,5,101
강동그린웨이 가족캠핑장,관광,nature / experience,편의,전기 사용이 편해요,3,101
강동그린웨이 가족캠핑장,관광,nature / experience,만족도,친절해요,3,101
강동그린웨이 가족캠핑장,관광,nature / experience,매력도,매너타임이 잘 지켜져요,2,101
강동그린웨이 가족캠핑장,관광,nature / experience,편의,벌레 걱정 없어요,2,101
강동그린웨이 가족캠핑장,관광,nature / experience,만족도,가성비가 좋아요,2,101
강동그린웨이 가족캠핑장,관광,nature / experience,편의,물놀이하기 좋아요,2,101
강동그린웨이 가족캠핑장,관광,nature / experience,편의,마트 이용이 편해요,1,101
강동그린웨이 가족캠핑장,관광,nature / experience,편의,보안시설이 잘 되어있어요,1,101
강변스파랜드,관광,theme,편의,규모가 커요,311,452
강변스파랜드,관광,theme,편의,시설이 깔끔해요,222,452
강변스파랜드,관광,theme,만족도,친절해요,145,452
강변스파랜드,관광,theme,편의,휴게공간이 잘 되어있어요,126,452
강변스파랜드,관광,theme,매력도,놀거리가 많아요,92,452
강변스파랜드,관광,theme,편의,주차하기 편해요,85,452
강변스파랜드,관광,theme,편의,부대시설이 잘 되어있어요,80,452
강변스파랜드,관광,theme,만족도,가격이 합리적이에요,72,452
강변스파랜드,관광,theme,편의,수면실이 잘 되어있어요,57,452
강변스파랜드,관광,theme,편의,특이한 찜질방이 있어요,52,452
강변스파랜드,관광,theme,매력도,오래 머무르기 좋아요,16,452
강변스파랜드,관광,theme,편의,탕이 넓어요,10,452
강변스파랜드,관광,theme,편의,먹거리가 풍부해요,6,452
강변스파랜드,관광,theme,매력도,조용히 쉬기 좋아요,6,452
강변스파랜드,관광,theme,편의,탕 종류가 다양해요,5,452
강변스파랜드,관광,theme,편의,수질 관리가 잘돼요,5,452
강변스파랜드,관광,theme,편의,관리가 잘 되어있어요,4,452
강변스파랜드,관광,theme,편의,노천탕이 잘 되어있어요,1,452
강변스파랜드,관광,theme,만족도,세신사의 실력이 좋아요,1,452
강서농산물도매시장,관광,shop_etc,편의,주차하기 편해요,106,170
강서농산물도매시장,관광,shop_etc,만족도,친절해요,73,170
강서농산물도매시장,관광,shop_etc,매력도,볼거리가 많아요,45,170
강서농산물도매시장,관광,shop_etc,편의,종류가 다양해요,21,170
강서농산물도매시장,관광,shop_etc,편의,시설이 깔끔해요,19,170
강서농산물도매시장,관광,shop_etc,만족도,가성비가 좋아요,18,170
강서농산물도매시장,관광,shop_etc,만족도,품질이 좋아요,17,170
강서농산물도매시장,관광,shop_etc,편의,매장이 넓어요,16,170
강서농산물도매시장,관광,shop_etc,편의,먹거리가 풍부해요,13,170
강서농산물도매시장,관광,shop_etc,매력도,특색 있는 제품이 많아요,13,170
강서농산물도매시장,관광,shop_etc,편의,편의시설이 잘 되어있어요,10,170
강서농산물도매시장,관광,shop_etc,매력도,컨셉이 독특해요,7,170
강서농산물도매시장,관광,shop_etc,매력도,트렌디해요,5,170
강서농산물도매시장,관광,shop_etc,매력도,분위기가 편안해요,3,170
강서농산물도매시장,관광,shop_etc,매력도,야시장이 잘 되어있어요,3,170
강서농산물도매시장,관광,shop_etc,만족도,비싼 만큼 가치있어요,2,170
강서농산물도매시장,관광,shop_etc,편의,규모가 커요,2,170
강서농산물도매시장,관광,shop_etc,매력도,방문객이 많아요,1,170
강서농산물도매시장,관광,shop_etc,매력도,붐비지 않아요,1,170
개봉중앙시장,관광,shop_etc,편의,종류가 다양해요,8,20
개봉중앙시장,관광,shop_etc,만족도,가성비가 좋아요,6,20
개봉중앙시장,관광,shop_etc,만족도,친절해요,5,20
개봉중앙시장,관광,shop_etc,매력도,볼거리가 많아요,3,20
개봉중앙시장,관광,shop_etc,만족도,품질이 좋아요,3,20
개봉중앙시장,관광,shop_etc,편의,시설이 깔끔해요,2,20
개봉중앙시장,관광,shop_etc,매력도,특색 있는 제품이 많아요,2,20
개봉중앙시장,관광,shop_etc,편의,주차하기 편해요,1,20
갤러리아백화점명품관EAST,관광,shop_etc,만족도,친절해요,1074,"1,940"
갤러리아백화점명품관EAST,관광,shop_etc,편의,종류가 다양해요,843,"1,940"
갤러리아백화점명품관EAST,관광,shop_etc,만족도,품질이 좋아요,821,"1,940"
갤러리아백화점명품관EAST,관광,shop_etc,매력도,특색 있는 제품이 많아요,572,"1,940"
갤러리아백화점명품관EAST,관광,shop_etc,만족도,비싼 만큼 가치있어요,453,"1,940"
갤러리아백화점명품관EAST,관광,shop_etc,만족도,가성비가 좋아요,365,"1,940"
갤러리아백화점명품관EAST,관광,shop_etc,편의,시설이 깔끔해요,349,"1,940"
갤러리아백화점명품관EAST,관광,shop_etc,편의,주차하기 편해요,301,"1,940"
갤러리아백화점명품관EAST,관광,shop_etc,매력도,분위기가 편안해요,243,"1,940"
갤러리아백화점명품관EAST,관광,shop_etc,편의,매장이 넓어요,206,"1,940"
갤러리아백화점명품관EAST,관광,shop_etc,매력도,고급스러워요,51,"1,940"
갤러리아백화점명품관EAST,관광,shop_etc,매력도,트렌디해요,45,"1,940"
갤러리아백화점명품관EAST,관광,shop_etc,매력도,선물하기 좋아요,33,"1,940"
갤러리아백화점명품관EAST,관광,shop_etc,만족도,포장이 정성스러워요,26,"1,940"
갤러리아백화점명품관EAST,관광,shop_etc,매력도,신상품이 많아요,8,"1,940"
갤러리아백화점명품관EAST,관광,shop_etc,만족도,추천을 잘해줘요,6,"1,940"
갤러리아백화점명품관EAST,관광,shop_etc,매력도,컨셉이 독특해요,3,"1,940"
갤러리아백화점명품관EAST,관광,shop_etc,편의,인테리어가 멋져요,3,"1,940"
갤러리아백화점명품관EAST,관광,shop_etc,매력도,아기자기해요,2,"1,940"
갤러리아백화점명품관EAST,관광,shop_etc,매력도,독특한 디자인이 많아요,2,"1,940"
갤러리아백화점명품관EAST,관광,shop_etc,매력도,사이즈가 다양해요,2,"1,940"
갤러리아백화점명품관EAST,관광,shop_etc,만족도,A/S가 세심해요,1,"1,940"
갤러리아백화점명품관EAST,관광,shop_etc,만족도,설명이 자세해요,1,"1,940"
갤러리아백화점명품관EAST,관광,shop_etc,매력도,사진이 잘 나와요,1,"1,940"
경복궁,관광,history,매력도,사진이 잘 나와요,777,"1,202"
경복궁,관광,history,매력도,볼거리가 많아요,718,"1,202"
경복궁,관광,history,편의,관리가 잘 되어있어요,317,"1,202"
경복궁,관광,history,편의,산책로가 잘 되어있어요,280,"1,202"
경복궁,관광,history,매력도,아이와 가기 좋아요,210,"1,202"
경복궁,관광,history,만족도,가격이 합리적이에요,195,"1,202"
경복궁,관광,history,매력도,체험 프로그램이 다양해요,119,"1,202"
경복궁,관광,history,편의,주차하기 편해요,117,"1,202"
경복궁,관광,history,매력도,뷰가 좋아요,117,"1,202"
경복궁,관광,history,매력도,방문객이 많아요,113,"1,202"
경복궁,관광,history,만족도,설명이 잘 되어있어요,84,"1,202"
경복궁,관광,history,매력도,붐비지 않아요,81,"1,202"
경복궁,관광,history,편의,규모가 커요,68,"1,202"
경복궁,관광,history,편의,근처에 갈 곳이 많아요,21,"1,202"
경복궁,관광,history,매력도,야경이 멋져요,20,"1,202"
경복궁,관광,history,매력도,경관이 독특해요,18,"1,202"
경복궁,관광,history,편의,대중교통이 편해요,8,"1,202"
경복궁,관광,history,편의,화장실이 깨끗해요,6,"1,202"
경복궁,관광,history,편의,편의시설이 잘 되어있어요,4,"1,202"
경의선숲길,관광,nature / theme,편의,산책로가 잘 되어있어요,46,53
경의선숲길,관광,nature / theme,매력도,뷰가 좋아요,35,53
경의선숲길,관광,nature / theme,매력도,사진이 잘 나와요,28,53
경의선숲길,관광,nature / theme,매력도,볼거리가 많아요,19,53
경의선숲길,관광,nature / theme,편의,관리가 잘 되어있어요,15,53
경의선숲길,관광,nature / theme,매력도,방문객이 많아요,13,53
경의선숲길,관광,nature / theme,편의,먹거리가 풍부해요,8,53
경의선숲길,관광,nature / theme,매력도,붐비지 않아요,7,53
경의선숲길,관광,nature / theme,편의,근처에 갈 곳이 많아요,6,53
경의선숲길,관광,nature / theme,편의,대중교통이 편해요,6,53
경의선숲길,관광,nature / theme,매력도,자연 경관이 좋아요,6,53
경의선숲길,관광,nature / theme,편의,규모가 커요,3,53
경의선숲길,관광,nature / theme,편의,편의시설이 잘 되어있어요,2,53
경의선숲길,관광,nature / theme,매력도,조용히 쉬기 좋아요,1,53
경의선숲길,관광,nature / theme,매력도,아이와 가기 좋아요,1,53
경춘선숲길,관광,nature,편의,산책로가 잘 되어있어요,23,23
경춘선숲길,관광,nature,매력도,뷰가 좋아요,22,23
경춘선숲길,관광,nature,매력도,사진이 잘 나와요,16,23
경춘선숲길,관광,nature,매력도,볼거리가 많아요,10,23
경춘선숲길,관광,nature,편의,관리가 잘 되어있어요,10,23
경춘선숲길,관광,nature,매력도,방문객이 많아요,9,23
경춘선숲길,관광,nature,편의,편의시설이 잘 되어있어요,3,23
경춘선숲길,관광,nature,편의,주차하기 편해요,2,23
경춘선숲길,관광,nature,만족도,반려동물과 가기 좋아요,2,23
경춘선숲길,관광,nature,매력도,자연 경관이 좋아요,2,23
경춘선숲길,관광,nature,매력도,붐비지 않아요,2,23
경춘선숲길,관광,nature,편의,먹거리가 풍부해요,1,23
경춘선숲길,관광,nature,매력도,아이와 가기 좋아요,1,23
경춘선숲길,관광,nature,편의,근처에 갈 곳이 많아요,1,23
경춘선숲길,관광,nature,매력도,체험 프로그램이 다양해요,1,23
경춘선숲길,관광,nature,편의,대중교통이 편해요,1,23
경춘선숲길,관광,nature,매력도,트렌디해요,1,23
경희궁,관광,history,매력도,사진이 잘 나와요,29,39
경희궁,관광,history,매력도,붐비지 않아요,29,39
경희궁,관광,history,편의,산책로가 잘 되어있어요,21,39
경희궁,관광,history,편의,관리가 잘 되어있어요,13,39
경희궁,관광,history,매력도,아이와 가기 좋아요,13,39
경희궁,관광,history,매력도,뷰가 좋아요,12,39
경희궁,관광,history,편의,대중교통이 편해요,7,39
경희궁,관광,history,매력도,볼거리가 많아요,6,39
경희궁,관광,history,편의,주차하기 편해요,6,39
경희궁,관광,history,만족도,반려동물과 가기 좋아요,6,39
경희궁,관광,history,만족도,가격이 합리적이에요,5,39
경희궁,관광,history,만족도,설명이 잘 되어있어요,4,39
경희궁,관광,history,편의,근처에 갈 곳이 많아요,4,39
경희궁,관광,history,매력도,경관이 독특해요,1,39
경희궁,관광,history,편의,화장실이 깨끗해요,1,39
고궁마실,관광,experience,만족도,친절해요,90,123
고궁마실,관광,experience,매력도,옷이 예뻐요,78,123
고궁마실,관광,experience,매력도,옷이 다양해요,63,123
고궁마실,관광,experience,만족도,스타일 추천을 잘해줘요,62,123
고궁마실,관광,experience,매력도,옷 관리가 잘 되어있어요,39,123
고궁마실,관광,experience,매력도,사이즈가 다양해요,37,123
고궁마실,관광,experience,편의,시설이 깔끔해요,35,123
고궁마실,관광,experience,편의,반납이 편해요,35,123
고궁마실,관광,experience,만족도,가격이 합리적이에요,32,123
고궁마실,관광,experience,만족도,상담이 자세해요,22,123
고궁마실,관광,experience,매력도,고급스러워요,6,123
고궁마실,관광,experience,매력도,트렌디해요,3,123
고궁마실,관광,experience,만족도,피팅이 자유로워요,2,123
고궁마실,관광,experience,편의,소품이 다양해요,2,123
고궁마실,관광,experience,매력도,독특한 의상이 많아요,1,123
고속터미널 꽃도매상가,관광,shop_etc,매력도,볼거리가 많아요,5,10
고속터미널 꽃도매상가,관광,shop_etc,만족도,친절해요,3,10
고속터미널 꽃도매상가,관광,shop_etc,매력도,트렌디해요,2,10
고속터미널 꽃도매상가,관광,shop_etc,매력도,컨셉이 독특해요,1,10
고속터미널 꽃도매상가,관광,shop_etc,편의,시설이 깔끔해요,1,10
고속터미널 꽃도매상가,관광,shop_etc,편의,먹거리가 풍부해요,1,10
고척근린공원,관광,nature,편의,주차하기 편해요,36,66
고척근린공원,관광,nature,편의,산책로가 잘 되어있어요,36,66
고척근린공원,관광,nature,편의,관리가 잘 되어있어요,24,66
고척근린공원,관광,nature,매력도,뷰가 좋아요,21,66
고척근린공원,관광,nature,매력도,붐비지 않아요,13,66
고척근린공원,관광,nature,편의,편의시설이 잘 되어있어요,10,66
고척근린공원,관광,nature,매력도,사진이 잘 나와요,10,66
고척근린공원,관광,nature,만족도,가격이 합리적이에요,10,66
고척근린공원,관광,nature,편의,먹거리가 풍부해요,7,66
고척근린공원,관광,nature,매력도,볼거리가 많아요,6,66
고척근린공원,관광,nature,매력도,방문객이 많아요,6,66
고척근린공원,관광,nature,매력도,체험 프로그램이 다양해요,2,66
고척근린시장,관광,shop_etc,만족도,친절해요,24,29
고척근린시장,관광,shop_etc,매력도,볼거리가 많아요,8,29
고척근린시장,관광,shop_etc,편의,시설이 깔끔해요,4,29
고척근린시장,관광,shop_etc,매력도,컨셉이 독특해요,3,29
고척근린시장,관광,shop_etc,매력도,야시장이 잘 되어있어요,3,29
고척근린시장,관광,shop_etc,매력도,트렌디해요,3,29
고척근린시장,관광,shop_etc,편의,먹거리가 풍부해요,2,29
고척근린시장,관광,shop_etc,매력도,특색 있는 제품이 많아요,2,29
고척근린시장,관광,shop_etc,만족도,품질이 좋아요,2,29
고척근린시장,관광,shop_etc,매력도,분위기가 편안해요,1,29
고척근린시장,관광,shop_etc,만족도,가성비가 좋아요,1,29
고척근린시장,관광,shop_etc,만족도,비싼 만큼 가치있어요,1,29
고척근린시장,관광,shop_etc,편의,종류가 다양해요,1,29
고투몰,관광,shop_etc,만족도,가성비가 좋아요,259,361
고투몰,관광,shop_etc,편의,종류가 다양해요,130,361
고투몰,관광,shop_etc,만족도,친절해요,99,361
고투몰,관광,shop_etc,만족도,품질이 좋아요,36,361
고투몰,관광,shop_etc,매력도,분위기가 편안해요,32,361
고투몰,관광,shop_etc,매력도,특색 있는 제품이 많아요,32,361
고투몰,관광,shop_etc,편의,시설이 깔끔해요,22,361
고투몰,관광,shop_etc,편의,매장이 넓어요,13,361
고투몰,관광,shop_etc,만족도,비싼 만큼 가치있어요,9,361
고투몰,관광,shop_etc,매력도,트렌디해요,3,361
고투몰,관광,shop_etc,편의,주차하기 편해요,2,361
고투몰,관광,shop_etc,매력도,아기자기해요,1,361
고투몰,관광,shop_etc,편의,인테리어가 멋져요,1,361
고투몰,관광,shop_etc,매력도,사진이 잘 나와요,1,361
골든블루마리나,관광,experience,만족도,친절해요,692,780
골든블루마리나,관광,experience,매력도,뷰가 좋아요,622,780
골든블루마리나,관광,experience,만족도,안전하게 관리해요,498,780
골든블루마리나,관광,experience,만족도,가격이 합리적이에요,280,780
골든블루마리나,관광,experience,매력도,체험 프로그램이 다양해요,128,780
골든블루마리나,관광,experience,편의,주차하기 편해요,112,780
골든블루마리나,관광,experience,편의,최신 장비를 사용해요,66,780
골든블루마리나,관광,experience,매력도,아이와 가기 좋아요,30,780
골든블루마리나,관광,experience,만족도,수업이 체계적이에요,26,780
골든블루마리나,관광,experience,편의,물이 깨끗해요,24,780
골든블루마리나,관광,experience,만족도,반려동물과 가기 좋아요,7,780
골든블루마리나,관광,experience,만족도,픽업서비스가 편해요,1,780
골든블루마리나,관광,experience,편의,샤워실이 잘 되어있어요,1,780
공릉동도깨비시장,관광,shop_etc,만족도,친절해요,26,47
공릉동도깨비시장,관광,shop_etc,만족도,가성비가 좋아요,14,47
공릉동도깨비시장,관광,shop_etc,편의,종류가 다양해요,12,47
공릉동도깨비시장,관광,shop_etc,만족도,품질이 좋아요,7,47
공릉동도깨비시장,관광,shop_etc,편의,시설이 깔끔해요,5,47
공릉동도깨비시장,관광,shop_etc,매력도,특색 있는 제품이 많아요,5,47
공릉동도깨비시장,관광,shop_etc,매력도,볼거리가 많아요,4,47
공릉동도깨비시장,관광,shop_etc,매력도,분위기가 편안해요,4,47
공릉동도깨비시장,관광,shop_etc,편의,먹거리가 풍부해요,2,47
공릉동도깨비시장,관광,shop_etc,매력도,컨셉이 독특해요,1,47
공릉동도깨비시장,관광,shop_etc,매력도,야시장이 잘 되어있어요,1,47
공릉동도깨비시장,관광,shop_etc,편의,주차하기 편해요,1,47
공릉동도깨비시장,관광,shop_etc,만족도,비싼 만큼 가치있어요,1,47
공릉동도깨비시장,관광,shop_etc,편의,매장이 넓어요,1,47
관악산 낙성대공원,관광,history,매력도,뷰가 좋아요,38,104
관악산 낙성대공원,관광,history,편의,산책로가 잘 되어있어요,36,104
관악산 낙성대공원,관광,history,편의,관리가 잘 되어있어요,29,104
관악산 낙성대공원,관광,history,편의,주차하기 편해요,22,104
관악산 낙성대공원,관광,history,매력도,사진이 잘 나와요,21,104
관악산 낙성대공원,관광,history,편의,편의시설이 잘 되어있어요,12,104
관악산 낙성대공원,관광,history,매력도,붐비지 않아요,12,104
관악산 낙성대공원,관광,history,만족도,가격이 합리적이에요,11,104
관악산 낙성대공원,관광,history,매력도,볼거리가 많아요,10,104
관악산 낙성대공원,관광,history,매력도,체험 프로그램이 다양해요,8,104
관악산 낙성대공원,관광,history,매력도,방문객이 많아요,7,104
관악산 낙성대공원,관광,history,편의,먹거리가 풍부해요,7,104
관악산 낙성대공원,관광,history,매력도,자연 경관이 좋아요,4,104
관악산 낙성대공원,관광,history,만족도,반려동물과 가기 좋아요,2,104
관악산 낙성대공원,관광,history,만족도,유익해요,2,104
관악산 낙성대공원,관광,history,매력도,조용히 쉬기 좋아요,1,104
관악산 낙성대공원,관광,history,매력도,아이와 가기 좋아요,1,104
관악산 낙성대공원,관광,history,편의,근처에 갈 곳이 많아요,1,104
관악산 호수공원,관광,nature,매력도,뷰가 좋아요,18,27
관악산 호수공원,관광,nature,편의,산책로가 잘 되어있어요,11,27
관악산 호수공원,관광,nature,편의,관리가 잘 되어있어요,9,27
관악산 호수공원,관광,nature,매력도,방문객이 많아요,5,27
관악산 호수공원,관광,nature,매력도,사진이 잘 나와요,4,27
관악산 호수공원,관광,nature,편의,편의시설이 잘 되어있어요,3,27
관악산 호수공원,관광,nature,매력도,자연 경관이 좋아요,3,27
관악산 호수공원,관광,nature,매력도,붐비지 않아요,3,27
관악산 호수공원,관광,nature,매력도,볼거리가 많아요,2,27
관악산 호수공원,관광,nature,만족도,반려동물과 가기 좋아요,1,27
관악산 호수공원,관광,nature,만족도,가격이 합리적이에요,1,27
관훈동 한국공예관,관광,shop_etc,편의,종류가 다양해요,53,114
관훈동 한국공예관,관광,shop_etc,매력도,특색 있는 제품이 많아요,46,114
관훈동 한국공예관,관광,shop_etc,만족도,친절해요,37,114
관훈동 한국공예관,관광,shop_etc,만족도,가성비가 좋아요,33,114
관훈동 한국공예관,관광,shop_etc,만족도,품질이 좋아요,17,114
관훈동 한국공예관,관광,shop_etc,편의,매장이 넓어요,11,114
관훈동 한국공예관,관광,shop_etc,매력도,분위기가 편안해요,7,114
관훈동 한국공예관,관광,shop_etc,편의,시설이 깔끔해요,4,114
관훈동 한국공예관,관광,shop_etc,매력도,선물하기 좋아요,3,114
관훈동 한국공예관,관광,shop_etc,만족도,비싼 만큼 가치있어요,3,114
광나루한강공원,관광,nature,매력도,뷰가 좋아요,12,15
광나루한강공원,관광,nature,편의,산책로가 잘 되어있어요,11,15
광나루한강공원,관광,nature,매력도,사진이 잘 나와요,6,15
광나루한강공원,관광,nature,매력도,붐비지 않아요,5,15
광나루한강공원,관광,nature,편의,주차하기 편해요,4,15
광나루한강공원,관광,nature,편의,관리가 잘 되어있어요,3,15
광나루한강공원,관광,nature,매력도,볼거리가 많아요,2,15
광나루한강공원,관광,nature,편의,편의시설이 잘 되어있어요,1,15
광나루한강공원,관광,nature,매력도,조용히 쉬기 좋아요,1,15
광나루한강공원,관광,nature,매력도,피크닉하기 좋아요,1,15
광나루한강공원,관광,nature,편의,대중교통이 편해요,1,15
광나루한강공원,관광,nature,편의,규모가 커요,1,15
광나루한강공원,관광,nature,매력도,자연 경관이 좋아요,1,15
광나루한강공원 암사생태공원,관광,nature,편의,산책로가 잘 되어있어요,10,10
광나루한강공원 암사생태공원,관광,nature,매력도,피크닉하기 좋아요,8,10
광나루한강공원 암사생태공원,관광,nature,매력도,볼거리가 많아요,6,10
광나루한강공원 암사생태공원,관광,nature,매력도,뷰가 좋아요,6,10
광나루한강공원 암사생태공원,관광,nature,매력도,사진이 잘 나와요,5,10
광나루한강공원 암사생태공원,관광,nature,편의,편의시설이 잘 되어있어요,4,10
광나루한강공원 암사생태공원,관광,nature,편의,화장실이 깨끗해요,4,10
광나루한강공원 암사생태공원,관광,nature,만족도,반려동물과 가기 좋아요,2,10
광나루한강공원 암사생태공원,관광,nature,편의,대중교통이 편해요,1,10
광야 서울,관광,shop_etc,편의,종류가 다양해요,235,437
광야 서울,관광,shop_etc,매력도,독특한 디자인이 많아요,149,437
광야 서울,관광,shop_etc,만족도,친절해요,148,437
광야 서울,관광,shop_etc,만족도,품질이 좋아요,111,437
광야 서울,관광,shop_etc,편의,매장이 넓어요,81,437
광야 서울,관광,shop_etc,매력도,분위기가 편안해요,54,437
광야 서울,관광,shop_etc,만족도,가성비가 좋아요,38,437
광야 서울,관광,shop_etc,매력도,트렌디해요,35,437
광야 서울,관광,shop_etc,매력도,컨셉이 독특해요,30,437
