tourist_spot,목록,good_point,selected_people
국립민속박물관&국립민속박물관 어린이박물관,박물관,"""전시 구성이 알차요""",12
국립민속박물관&국립민속박물관 어린이박물관,박물관,"""체험 프로그램이 다양해요""",9
국립민속박물관&국립민속박물관 어린이박물관,박물관,"""전시 테마가 재밌어요""",8
국립민속박물관&국립민속박물관 어린이박물관,박물관,"""설명이 잘 되어있어요""",5
국립민속박물관&국립민속박물관 어린이박물관,박물관,"""가격이 합리적이에요""",4
국립민속박물관&국립민속박물관 어린이박물관,박물관,"""아이와 가기 좋아요""",3
국립민속박물관&국립민속박물관 어린이박물관,박물관,"""사진이 잘 나와요""",2
국립민속박물관&국립민속박물관 어린이박물관,박물관,"""공간이 넓어요""",2
국립민속박물관&국립민속박물관 어린이박물관,박물관,"""주차하기 편해요""",1
서울 운현궁,궁궐,"""사진이 잘 나와요""",20
서울 운현궁,궁궐,"""붐비지 않아요""",19
서울 운현궁,궁궐,"""볼거리가 많아요""",18
서울 운현궁,궁궐,"""관리가 잘 되어있어요""",17
서울 운현궁,궁궐,"""체험 프로그램이 다양해요""",17
서울 운현궁,궁궐,"""설명이 잘 되어있어요""",15
서울 운현궁,궁궐,"""아이와 가기 좋아요""",7
서울 운현궁,궁궐,"""산책로가 잘 되어있어요""",7
서울 운현궁,궁궐,"""근처에 갈 곳이 많아요""",6
서울 운현궁,궁궐,"""뷰가 좋아요""",5
서울 운현궁,궁궐,"""야경이 멋져요""",4
서울 운현궁,궁궐,"""가격이 합리적이에요""",4
서울 운현궁,궁궐,"""대중교통이 편해요""",2
서울 운현궁,궁궐,"""규모가 커요""",2
서울 운현궁,궁궐,"""경관이 독특해요""",2
서울 운현궁,궁궐,"""방문객이 많아요""",1
서울 운현궁,궁궐,"""주차하기 편해요""",1
서울 운현궁,궁궐,"""화장실이 깨끗해요""",1
여의도샛강생태공원,"자연,생태공원","""산책로가 잘 되어있어요""",13
여의도샛강생태공원,"자연,생태공원","""뷰가 좋아요""",7
여의도샛강생태공원,"자연,생태공원","""볼거리가 많아요""",5
여의도샛강생태공원,"자연,생태공원","""사진이 잘 나와요""",5
여의도샛강생태공원,"자연,생태공원","""피크닉하기 좋아요""",5
여의도샛강생태공원,"자연,생태공원","""반려동물과 가기 좋아요""",3
여의도샛강생태공원,"자연,생태공원","""조용히 쉬기 좋아요""",2
여의도샛강생태공원,"자연,생태공원","""신기한 식물이 많아요""",2
여의도샛강생태공원,"자연,생태공원","""대중교통이 편해요""",2
여의도샛강생태공원,"자연,생태공원","""붐비지 않아요""",2
여의도샛강생태공원,"자연,생태공원","""방문객이 많아요""",1
여의도샛강생태공원,"자연,생태공원","""편의시설이 잘 되어있어요""",1
여의도샛강생태공원,"자연,생태공원","""관리가 잘 되어있어요""",1
여의도샛강생태공원,"자연,생태공원","""아이와 가기 좋아요""",1
여의도샛강생태공원,"자연,생태공원","""근처에 갈 곳이 많아요""",1
여의도샛강생태공원,"자연,생태공원","""주차하기 편해요""",1
여의도샛강생태공원,"자연,생태공원","""가격이 합리적이에요""",1
여의도샛강생태공원,"자연,생태공원","""체험 프로그램이 다양해요""",1
여의도샛강생태공원,"자연,생태공원","""화장실이 깨끗해요""",1
난지한강공원,시민공원,"""뷰가 좋아요""",81
난지한강공원,시민공원,"""사진이 잘 나와요""",38
난지한강공원,시민공원,"""관리가 잘 되어있어요""",36
난지한강공원,시민공원,"""방문객이 많아요""",27
난지한강공원,시민공원,"""산책로가 잘 되어있어요""",22
난지한강공원,시민공원,"""편의시설이 잘 되어있어요""",20
난지한강공원,시민공원,"""볼거리가 많아요""",17
난지한강공원,시민공원,"""주차하기 편해요""",16
난지한강공원,시민공원,"""붐비지 않아요""",13
난지한강공원,시민공원,"""가격이 합리적이에요""",6
난지한강공원,시민공원,"""자연 경관이 좋아요""",5
난지한강공원,시민공원,"""먹거리가 풍부해요""",4
난지한강공원,시민공원,"""아이와 가기 좋아요""",4
난지한강공원,시민공원,"""규모가 커요""",4
난지한강공원,시민공원,"""근처에 갈 곳이 많아요""",1
난지한강공원,시민공원,"""반려동물과 가기 좋아요""",1
난지한강공원,시민공원,"""피크닉하기 좋아요""",1
난지한강공원,시민공원,"""유익해요""",1
국립항공박물관,박물관,"""유익해요""",496
국립항공박물관,박물관,"""체험 프로그램이 다양해요""",333
국립항공박물관,박물관,"""전시 구성이 알차요""",324
국립항공박물관,박물관,"""아이와 가기 좋아요""",227
국립항공박물관,박물관,"""주차하기 편해요""",166
국립항공박물관,박물관,"""설명이 잘 되어있어요""",152
국립항공박물관,박물관,"""전시 테마가 재밌어요""",148
국립항공박물관,박물관,"""가격이 합리적이에요""",122
국립항공박물관,박물관,"""공간이 넓어요""",122
국립항공박물관,박물관,"""사진이 잘 나와요""",26
국립항공박물관,박물관,"""화장실이 깨끗해요""",3
국립항공박물관,박물관,"""컨셉이 독특해요""",2
국립항공박물관,박물관,"""뷰가 좋아요""",1
경동시장,시장,"""주차하기 편해요""",13
경동시장,시장,"""가성비가 좋아요""",12
경동시장,시장,"""볼거리가 많아요""",11
경동시장,시장,"""친절해요""",11
경동시장,시장,"""특색 있는 제품이 많아요""",10
경동시장,시장,"""종류가 다양해요""",9
경동시장,시장,"""품질이 좋아요""",5
경동시장,시장,"""먹거리가 풍부해요""",4
경동시장,시장,"""매장이 넓어요""",4
경동시장,시장,"""시설이 깔끔해요""",2
경동시장,시장,"""트렌디해요""",2
경동시장,시장,"""분위기가 편안해요""",1
용산가족공원,근린공원,"""산책로가 잘 되어있어요""",35
용산가족공원,근린공원,"""뷰가 좋아요""",33
용산가족공원,근린공원,"""사진이 잘 나와요""",21
용산가족공원,근린공원,"""관리가 잘 되어있어요""",19
용산가족공원,근린공원,"""자연 경관이 좋아요""",12
용산가족공원,근린공원,"""붐비지 않아요""",10
용산가족공원,근린공원,"""볼거리가 많아요""",9
용산가족공원,근린공원,"""아이와 가기 좋아요""",5
용산가족공원,근린공원,"""주차하기 편해요""",5
용산가족공원,근린공원,"""조용히 쉬기 좋아요""",4
용산가족공원,근린공원,"""방문객이 많아요""",3
용산가족공원,근린공원,"""반려동물과 가기 좋아요""",3
용산가족공원,근린공원,"""피크닉하기 좋아요""",3
용산가족공원,근린공원,"""규모가 커요""",3
용산가족공원,근린공원,"""편의시설이 잘 되어있어요""",2
용산가족공원,근린공원,"""먹거리가 풍부해요""",1
용산가족공원,근린공원,"""근처에 갈 곳이 많아요""",1
용산가족공원,근린공원,"""대중교통이 편해요""",1
용산가족공원,근린공원,"""화장실이 깨끗해요""",1
서서울호수공원,"도시,테마공원","""산책로가 잘 되어있어요""",32
서서울호수공원,"도시,테마공원","""뷰가 좋아요""",29
서서울호수공원,"도시,테마공원","""관리가 잘 되어있어요""",20
서서울호수공원,"도시,테마공원","""사진이 잘 나와요""",15
서서울호수공원,"도시,테마공원","""볼거리가 많아요""",12
서서울호수공원,"도시,테마공원","""반려동물과 가기 좋아요""",10
서서울호수공원,"도시,테마공원","""방문객이 많아요""",9
서서울호수공원,"도시,테마공원","""자연 경관이 좋아요""",7
서서울호수공원,"도시,테마공원","""주차하기 편해요""",6
서서울호수공원,"도시,테마공원","""붐비지 않아요""",5
서서울호수공원,"도시,테마공원","""편의시설이 잘 되어있어요""",4
서서울호수공원,"도시,테마공원","""화장실이 깨끗해요""",3
서서울호수공원,"도시,테마공원","""조용히 쉬기 좋아요""",1
서서울호수공원,"도시,테마공원","""아이와 가기 좋아요""",1
서서울호수공원,"도시,테마공원","""피크닉하기 좋아요""",1
영등포 신길동 홍어거리,"해물,생선요리","""음식이 맛있어요""",120
영등포 신길동 홍어거리,"해물,생선요리","""친절해요""",48
영등포 신길동 홍어거리,"해물,생선요리","""재료가 신선해요""",37
영등포 신길동 홍어거리,"해물,생선요리","""특별한 메뉴가 있어요""",37
영등포 신길동 홍어거리,"해물,생선요리","""양이 많아요""",19
영등포 신길동 홍어거리,"해물,생선요리","""가성비가 좋아요""",16
영등포 신길동 홍어거리,"해물,생선요리","""특별한 날 가기 좋아요""",12
영등포 신길동 홍어거리,"해물,생선요리","""단체모임 하기 좋아요""",12
영등포 신길동 홍어거리,"해물,생선요리","""매장이 넓어요""",8
영등포 신길동 홍어거리,"해물,생선요리","""매장이 청결해요""",8
영등포 신길동 홍어거리,"해물,생선요리","""주차하기 편해요""",4
영등포 신길동 홍어거리,"해물,생선요리","""화장실이 깨끗해요""",3
영등포 신길동 홍어거리,"해물,생선요리","""인테리어가 멋져요""",1
영등포 신길동 홍어거리,"해물,생선요리","""메뉴 구성이 알차요""",1
영등포 신길동 홍어거리,"해물,생선요리","""건강한 맛이에요""",1
무수아취,"캠핑,야영장","""깨끗해요""",1532
무수아취,"캠핑,야영장","""바비큐 해먹기 좋아요 """,1481
무수아취,"캠핑,야영장","""화장실이 잘 되어있어요""",947
무수아취,"캠핑,야영장","""사진이 잘 나와요""",832
무수아취,"캠핑,야영장","""뷰가 좋아요""",726
무수아취,"캠핑,야영장","""조용히 쉬기 좋아요""",676
무수아취,"캠핑,야영장","""주차하기 편해요""",659
무수아취,"캠핑,야영장","""공용시설 관리가 잘돼요""",620
무수아취,"캠핑,야영장","""사이트 간격이 넓어요""",230
무수아취,"캠핑,야영장","""벌레 걱정 없어요""",129
무수아취,"캠핑,야영장","""온수가 잘 나와요""",122
무수아취,"캠핑,야영장","""매너타임이 잘 지켜져요""",121
무수아취,"캠핑,야영장","""친절해요""",98
무수아취,"캠핑,야영장","""개수대가 잘 되어있어요""",93
무수아취,"캠핑,야영장","""물놀이하기 좋아요""",80
무수아취,"캠핑,야영장","""그늘이 많아요""",68
무수아취,"캠핑,야영장","""냉난방이 잘돼요""",65
무수아취,"캠핑,야영장","""파티하기 좋아요""",36
무수아취,"캠핑,야영장","""인테리어가 멋져요""",33
무수아취,"캠핑,야영장","""컨셉이 독특해요""",18
무수아취,"캠핑,야영장","""아이와 가기 좋아요""",18
무수아취,"캠핑,야영장","""전기 사용이 편해요""",16
무수아취,"캠핑,야영장","""비싼 만큼 가치있어요""",9
무수아취,"캠핑,야영장","""편의시설이 잘 되어있어요""",6
무수아취,"캠핑,야영장","""마트 이용이 편해요""",6
무수아취,"캠핑,야영장","""취사시설이 잘 되어있어요""",5
무수아취,"캠핑,야영장","""대중교통이 편해요""",3
무수아취,"캠핑,야영장","""반려동물과 가기 좋아요""",2
무수아취,"캠핑,야영장","""방음이 잘돼요""",2
무수아취,"캠핑,야영장","""침구가 좋아요""",1
무수아취,"캠핑,야영장","""보안시설이 잘 되어있어요""",1
서울함공원,"도시,테마공원","""볼거리가 많아요""",80
서울함공원,"도시,테마공원","""뷰가 좋아요""",73
서울함공원,"도시,테마공원","""관리가 잘 되어있어요""",52
서울함공원,"도시,테마공원","""사진이 잘 나와요""",36
서울함공원,"도시,테마공원","""붐비지 않아요""",27
서울함공원,"도시,테마공원","""주차하기 편해요""",26
서울함공원,"도시,테마공원","""산책로가 잘 되어있어요""",19
서울함공원,"도시,테마공원","""가격이 합리적이에요""",15
서울함공원,"도시,테마공원","""체험 프로그램이 다양해요""",13
서울함공원,"도시,테마공원","""방문객이 많아요""",7
서울함공원,"도시,테마공원","""아이와 가기 좋아요""",7
서울함공원,"도시,테마공원","""편의시설이 잘 되어있어요""",5
서울함공원,"도시,테마공원","""친절해요""",3
서울함공원,"도시,테마공원","""유익해요""",3
서울함공원,"도시,테마공원","""컨셉이 독특해요""",2
서울함공원,"도시,테마공원","""먹거리가 풍부해요""",1
서울함공원,"도시,테마공원","""자연 경관이 좋아요""",1
헬로우 에이피엠 (Hello apm),"화장품,향수","""주차하기 편해요""",13
헬로우 에이피엠 (Hello apm),"화장품,향수","""친절해요""",8
헬로우 에이피엠 (Hello apm),"화장품,향수","""가성비가 좋아요""",6
헬로우 에이피엠 (Hello apm),"화장품,향수","""품질이 좋아요""",4
헬로우 에이피엠 (Hello apm),"화장품,향수","""종류가 다양해요""",4
헬로우 에이피엠 (Hello apm),"화장품,향수","""시설이 깔끔해요""",3
헬로우 에이피엠 (Hello apm),"화장품,향수","""특색 있는 제품이 많아요""",3
헬로우 에이피엠 (Hello apm),"화장품,향수","""매장이 넓어요""",3
헬로우 에이피엠 (Hello apm),"화장품,향수","""분위기가 편안해요""",1
헬로우 에이피엠 (Hello apm),"화장품,향수","""트렌디해요""",1
키자니아 서울,테마파크,"""볼거리가 많아요""",63
키자니아 서울,테마파크,"""아이와 가기 좋아요""",62
키자니아 서울,테마파크,"""체험 프로그램이 다양해요""",52
키자니아 서울,테마파크,"""놀이기구가 다양해요""",23
키자니아 서울,테마파크,"""주차하기 편해요""",9
키자니아 서울,테마파크,"""사진이 잘 나와요""",9
키자니아 서울,테마파크,"""친절해요""",8
키자니아 서울,테마파크,"""규모가 커요""",8
키자니아 서울,테마파크,"""먹거리가 풍부해요""",5
키자니아 서울,테마파크,"""유익해요""",5
키자니아 서울,테마파크,"""가격이 합리적이에요""",3
키자니아 서울,테마파크,"""컨셉이 독특해요""",2
키자니아 서울,테마파크,"""시설이 깔끔해요""",2
키자니아 서울,테마파크,"""안전하게 관리해요""",2
키자니아 서울,테마파크,"""편의시설이 잘 되어있어요""",1
챔피언1250,"키즈카페,실내놀이터","""놀거리가 많아요""",863
챔피언1250,"키즈카페,실내놀이터","""공간이 넓어요""",457
챔피언1250,"키즈카페,실내놀이터","""테마가 재미있어요""",386
챔피언1250,"키즈카페,실내놀이터","""안전하게 관리해요""",373
챔피언1250,"키즈카페,실내놀이터","""친절해요""",328
챔피언1250,"키즈카페,실내놀이터","""매장이 청결해요""",273
챔피언1250,"키즈카페,실내놀이터","""주차하기 편해요""",263
챔피언1250,"키즈카페,실내놀이터","""체험 프로그램이 많아요""",237
챔피언1250,"키즈카페,실내놀이터","""부모도 쉬기 좋아요""",202
챔피언1250,"키즈카페,실내놀이터","""가격이 합리적이에요""",148
챔피언1250,"키즈카페,실내놀이터","""화장실이 깨끗해요""",63
챔피언1250,"키즈카페,실내놀이터","""음식이 맛있어요""",42
챔피언1250,"키즈카페,실내놀이터","""음료가 맛있어요""",40
챔피언1250,"키즈카페,실내놀이터","""커피가 맛있어요""",4
챔피언1250,"키즈카페,실내놀이터","""먹거리가 풍부해요""",2
배봉산,산,"""뷰가 좋아요""",8
배봉산,산,"""붐비지 않아요""",6
배봉산,산,"""편의시설이 잘 되어있어요""",3
배봉산,산,"""조용히 쉬기 좋아요""",3
배봉산,산,"""아이와 가기 좋아요""",2
배봉산,산,"""반려동물과 가기 좋아요""",2
배봉산,산,"""사진이 잘 나와요""",2
배봉산,산,"""화장실이 깨끗해요""",2
배봉산,산,"""산책로가 잘 되어있어요""",2
배봉산,산,"""피크닉하기 좋아요""",1
배봉산,산,"""신기한 식물이 많아요""",1
배봉산,산,"""경관이 독특해요""",1
만해한용운심우장,기념물,"""사진이 잘 나와요""",6
만해한용운심우장,기념물,"""설명이 잘 되어있어요""",5
만해한용운심우장,기념물,"""붐비지 않아요""",4
만해한용운심우장,기념물,"""뷰가 좋아요""",4
만해한용운심우장,기념물,"""볼거리가 많아요""",3
만해한용운심우장,기념물,"""관리가 잘 되어있어요""",3
만해한용운심우장,기념물,"""아이와 가기 좋아요""",2
만해한용운심우장,기념물,"""대중교통이 편해요""",2
만해한용운심우장,기념물,"""근처에 갈 곳이 많아요""",1
만해한용운심우장,기념물,"""주차하기 편해요""",1
만해한용운심우장,기념물,"""체험 프로그램이 다양해요""",1
독립문,기념물,"""사진이 잘 나와요""",21
독립문,기념물,"""산책로가 잘 되어있어요""",17
독립문,기념물,"""관리가 잘 되어있어요""",11
독립문,기념물,"""볼거리가 많아요""",10
독립문,기념물,"""붐비지 않아요""",10
독립문,기념물,"""아이와 가기 좋아요""",4
독립문,기념물,"""근처에 갈 곳이 많아요""",4
독립문,기념물,"""설명이 잘 되어있어요""",3
독립문,기념물,"""체험 프로그램이 다양해요""",3
독립문,기념물,"""가격이 합리적이에요""",2
독립문,기념물,"""대중교통이 편해요""",2
독립문,기념물,"""뷰가 좋아요""",2
독립문,기념물,"""방문객이 많아요""",1
독립문,기념물,"""주차하기 편해요""",1
독립문,기념물,"""반려동물과 가기 좋아요""",1
독립문,기념물,"""규모가 커요""",1
전쟁기념관,박물관,"""유익해요""",770
전쟁기념관,박물관,"""주차하기 편해요""",480
전쟁기념관,박물관,"""전시 구성이 알차요""",443
전쟁기념관,박물관,"""공간이 넓어요""",253
전쟁기념관,박물관,"""설명이 잘 되어있어요""",234
전쟁기념관,박물관,"""전시 테마가 재밌어요""",231
전쟁기념관,박물관,"""아이와 가기 좋아요""",140
전쟁기념관,박물관,"""체험 프로그램이 다양해요""",121
전쟁기념관,박물관,"""가격이 합리적이에요""",93
전쟁기념관,박물관,"""사진이 잘 나와요""",50
전쟁기념관,박물관,"""화장실이 깨끗해요""",3
서울 중부시장,시장,"""친절해요""",17
서울 중부시장,시장,"""종류가 다양해요""",5
서울 중부시장,시장,"""볼거리가 많아요""",4
서울 중부시장,시장,"""특색 있는 제품이 많아요""",4
서울 중부시장,시장,"""품질이 좋아요""",4
서울 중부시장,시장,"""야시장이 잘 되어있어요""",2
서울 중부시장,시장,"""비싼 만큼 가치있어요""",2
서울 중부시장,시장,"""시설이 깔끔해요""",1
서울 중부시장,시장,"""먹거리가 풍부해요""",1
서울 중부시장,시장,"""분위기가 편안해요""",1
서울 중부시장,시장,"""주차하기 편해요""",1
서울 중부시장,시장,"""가성비가 좋아요""",1
서울 중부시장,시장,"""매장이 넓어요""",1
서울 중부시장,시장,"""트렌디해요""",1
삼익패션타운,"상가,아케이드","""가성비가 좋아요""",32
삼익패션타운,"상가,아케이드","""친절해요""",29
삼익패션타운,"상가,아케이드","""분위기가 편안해요""",13
삼익패션타운,"상가,아케이드","""종류가 다양해요""",12
삼익패션타운,"상가,아케이드","""주차하기 편해요""",8
삼익패션타운,"상가,아케이드","""품질이 좋아요""",8
삼익패션타운,"상가,아케이드","""시설이 깔끔해요""",6
삼익패션타운,"상가,아케이드","""특색 있는 제품이 많아요""",6
삼익패션타운,"상가,아케이드","""매장이 넓어요""",6
삼익패션타운,"상가,아케이드","""비싼 만큼 가치있어요""",2
삼익패션타운,"상가,아케이드","""설명이 자세해요""",1
흥인지문,기념물,"""사진이 잘 나와요""",36
흥인지문,기념물,"""볼거리가 많아요""",15
흥인지문,기념물,"""관리가 잘 되어있어요""",12
흥인지문,기념물,"""산책로가 잘 되어있어요""",12
흥인지문,기념물,"""붐비지 않아요""",9
흥인지문,기념물,"""근처에 갈 곳이 많아요""",6
흥인지문,기념물,"""대중교통이 편해요""",6
흥인지문,기념물,"""야경이 멋져요""",4
흥인지문,기념물,"""방문객이 많아요""",3
흥인지문,기념물,"""아이와 가기 좋아요""",3
흥인지문,기념물,"""뷰가 좋아요""",3
흥인지문,기념물,"""경관이 독특해요""",2
흥인지문,기념물,"""설명이 잘 되어있어요""",1
흥인지문,기념물,"""편의시설이 잘 되어있어요""",1
흥인지문,기념물,"""가격이 합리적이에요""",1
롯데월드 아쿠아리움,아쿠아리움,"""볼거리가 많아요""",6630
롯데월드 아쿠아리움,아쿠아리움,"""관리가 잘 되어있어요""",4791
롯데월드 아쿠아리움,아쿠아리움,"""규모가 커요""",4649
롯데월드 아쿠아리움,아쿠아리움,"""사진이 잘 나와요""",2386
롯데월드 아쿠아리움,아쿠아리움,"""주차하기 편해요""",2139
롯데월드 아쿠아리움,아쿠아리움,"""설명이 잘 되어있어요""",1314
롯데월드 아쿠아리움,아쿠아리움,"""체험 프로그램이 다양해요""",1136
롯데월드 아쿠아리움,아쿠아리움,"""가격이 합리적이에요""",996
롯데월드 아쿠아리움,아쿠아리움,"""공연이 재밌어요""",793
롯데월드 아쿠아리움,아쿠아리움,"""화장실이 깨끗해요""",258
롯데월드 아쿠아리움,아쿠아리움,"""뷰가 좋아요""",78
롯데월드 아쿠아리움,아쿠아리움,"""인테리어가 멋져요""",68
롯데월드 아쿠아리움,아쿠아리움,"""컨셉이 독특해요""",50
롯데월드 아쿠아리움,아쿠아리움,"""먹거리가 풍부해요""",30
롯데월드 아쿠아리움,아쿠아리움,"""피크닉하기 좋아요""",21
롯데월드 아쿠아리움,아쿠아리움,"""야외 공간이 멋져요""",13
롯데월드 아쿠아리움,아쿠아리움,"""반려동물과 가기 좋아요""",5
남산 야외식물원,"식물원,수목원","""산책로가 잘 되어있어요""",125
남산 야외식물원,"식물원,수목원","""주차하기 편해요""",68
남산 야외식물원,"식물원,수목원","""볼거리가 많아요""",35
남산 야외식물원,"식물원,수목원","""가격이 합리적이에요""",31
남산 야외식물원,"식물원,수목원","""뷰가 좋아요""",25
남산 야외식물원,"식물원,수목원","""편의시설이 잘 되어있어요""",19
남산 야외식물원,"식물원,수목원","""사진이 잘 나와요""",19
남산 야외식물원,"식물원,수목원","""신기한 식물이 많아요""",14
남산 야외식물원,"식물원,수목원","""화장실이 깨끗해요""",14
남산 야외식물원,"식물원,수목원","""대중교통이 편해요""",4
선유도공원,근린공원,"""뷰가 좋아요""",58
선유도공원,근린공원,"""산책로가 잘 되어있어요""",43
선유도공원,근린공원,"""사진이 잘 나와요""",35
선유도공원,근린공원,"""관리가 잘 되어있어요""",24
선유도공원,근린공원,"""붐비지 않아요""",23
선유도공원,근린공원,"""볼거리가 많아요""",22
선유도공원,근린공원,"""자연 경관이 좋아요""",11
선유도공원,근린공원,"""방문객이 많아요""",6
선유도공원,근린공원,"""주차하기 편해요""",6
선유도공원,근린공원,"""피크닉하기 좋아요""",5
선유도공원,근린공원,"""편의시설이 잘 되어있어요""",4
선유도공원,근린공원,"""조용히 쉬기 좋아요""",4
선유도공원,근린공원,"""아이와 가기 좋아요""",2
선유도공원,근린공원,"""규모가 커요""",2
선유도공원,근린공원,"""화장실이 깨끗해요""",2
선유도공원,근린공원,"""근처에 갈 곳이 많아요""",1
선유도공원,근린공원,"""반려동물과 가기 좋아요""",1
선유도공원,근린공원,"""체험 프로그램이 다양해요""",1
중명전,국가유산,"""사진이 잘 나와요""",10
중명전,국가유산,"""볼거리가 많아요""",7
중명전,국가유산,"""관리가 잘 되어있어요""",7
중명전,국가유산,"""붐비지 않아요""",6
중명전,국가유산,"""설명이 잘 되어있어요""",3
중명전,국가유산,"""아이와 가기 좋아요""",2
중명전,국가유산,"""대중교통이 편해요""",2
중명전,국가유산,"""근처에 갈 곳이 많아요""",1
중명전,국가유산,"""주차하기 편해요""",1
중명전,국가유산,"""체험 프로그램이 다양해요""",1
중명전,국가유산,"""산책로가 잘 되어있어요""",1
중명전,국가유산,"""뷰가 좋아요""",1
양화한강공원,시민공원,"""뷰가 좋아요""",47
양화한강공원,시민공원,"""산책로가 잘 되어있어요""",36
양화한강공원,시민공원,"""관리가 잘 되어있어요""",17
양화한강공원,시민공원,"""사진이 잘 나와요""",14
양화한강공원,시민공원,"""볼거리가 많아요""",10
양화한강공원,시민공원,"""붐비지 않아요""",10
양화한강공원,시민공원,"""주차하기 편해요""",9
양화한강공원,시민공원,"""방문객이 많아요""",8
양화한강공원,시민공원,"""자연 경관이 좋아요""",8
양화한강공원,시민공원,"""반려동물과 가기 좋아요""",6
양화한강공원,시민공원,"""편의시설이 잘 되어있어요""",4
양화한강공원,시민공원,"""조용히 쉬기 좋아요""",3
양화한강공원,시민공원,"""피크닉하기 좋아요""",3
양화한강공원,시민공원,"""먹거리가 풍부해요""",2
양화한강공원,시민공원,"""친절해요""",1
양화한강공원,시민공원,"""근처에 갈 곳이 많아요""",1
양화한강공원,시민공원,"""대중교통이 편해요""",1
양화한강공원,시민공원,"""규모가 커요""",1
수락산,산,"""뷰가 좋아요""",47
수락산,산,"""사진이 잘 나와요""",24
수락산,산,"""경관이 독특해요""",23
수락산,산,"""대중교통이 편해요""",13
수락산,산,"""붐비지 않아요""",12
수락산,산,"""볼거리가 많아요""",11
수락산,산,"""주차하기 편해요""",5
수락산,산,"""산책로가 잘 되어있어요""",5
수락산,산,"""방문객이 많아요""",4
수락산,산,"""조용히 쉬기 좋아요""",4
수락산,산,"""근처에 갈 곳이 많아요""",3
수락산,산,"""코스가 길어요""",2
수락산,산,"""편의시설이 잘 되어있어요""",2
수락산,산,"""피크닉하기 좋아요""",2
수락산,산,"""먹거리가 풍부해요""",1
수락산,산,"""반려동물과 가기 좋아요""",1
수락산,산,"""신기한 식물이 많아요""",1
