,Attraction,Good_Point,Selected_People
282,광화문,붐비지 않아요,13
283,광화문,경관이 독특해요,12
284,광화문,설명이 잘 되어있어요,3
285,광화문,가격이 합리적이에요,3
286,광화문,편의시설이 잘 되어있어요,1
287,광화문,주차하기 편해요,1
288,창경궁,사진이 잘 나와요,95
289,창경궁,산책로가 잘 되어있어요,65
290,창경궁,볼거리가 많아요,57
291,창경궁,관리가 잘 되어있어요,39
292,창경궁,붐비지 않아요,38
293,창경궁,뷰가 좋아요,28
294,창경궁,가격이 합리적이에요,26
295,창경궁,아이와 가기 좋아요,22
296,창경궁,설명이 잘 되어있어요,18
297,창경궁,방문객이 많아요,9
298,창경궁,야경이 멋져요,9
299,창경궁,근처에 갈 곳이 많아요,8
300,창경궁,체험 프로그램이 다양해요,8
301,창경궁,규모가 커요,8
302,창경궁,경관이 독특해요,8
303,창경궁,대중교통이 편해요,7
304,창경궁,주차하기 편해요,3
305,창경궁,화장실이 깨끗해요,3
306,창경궁,반려동물과 가기 좋아요,1
307,스타필드 코엑스몰,종류가 다양해요,714
308,스타필드 코엑스몰,친절해요,643
309,스타필드 코엑스몰,매장이 넓어요,637
310,스타필드 코엑스몰,시설이 깔끔해요,495
311,스타필드 코엑스몰,가성비가 좋아요,384
312,스타필드 코엑스몰,분위기가 편안해요,323
313,스타필드 코엑스몰,품질이 좋아요,297
314,스타필드 코엑스몰,특색 있는 제품이 많아요,287
315,스타필드 코엑스몰,주차하기 편해요,160
316,스타필드 코엑스몰,비싼 만큼 가치있어요,122
317,스타필드 코엑스몰,트렌디해요,22
318,스타필드 코엑스몰,아기자기해요,7
319,스타필드 코엑스몰,고급스러워요,6
320,스타필드 코엑스몰,인테리어가 멋져요,4
321,스타필드 코엑스몰,사진이 잘 나와요,3
322,스타필드 코엑스몰,컨셉이 독특해요,2
323,스타필드 코엑스몰,독특한 디자인이 많아요,2
324,스타필드 코엑스몰,포장이 정성스러워요,2
325,스타필드 코엑스몰,예쁜 소품이 많아요,2
326,스타필드 코엑스몰,A/S가 세심해요,1
327,스타필드 코엑스몰,신상품이 많아요,1
328,석촌호수,뷰가 좋아요,312
329,석촌호수,사진이 잘 나와요,219
330,석촌호수,근처에 갈 곳이 많아요,102
331,석촌호수,산책로가 잘 되어있어요,92
332,석촌호수,볼거리가 많아요,90
333,석촌호수,경관이 독특해요,83
334,석촌호수,방문객이 많아요,68
335,석촌호수,대중교통이 편해요,65
336,석촌호수,규모가 커요,22
337,석촌호수,편의시설이 잘 되어있어요,20
338,석촌호수,코스가 길어요,16
339,석촌호수,관리가 잘 되어있어요,16
340,석촌호수,화장실이 깨끗해요,15
341,석촌호수,피크닉하기 좋아요,14
342,석촌호수,붐비지 않아요,12
343,석촌호수,반려동물과 가기 좋아요,11
344,석촌호수,조용히 쉬기 좋아요,10
345,석촌호수,아이와 가기 좋아요,9
346,석촌호수,주차하기 편해요,7
347,석촌호수,먹거리가 풍부해요,1
348,화랑대 철도공원,볼거리가 많아요,27
349,화랑대 철도공원,산책로가 잘 되어있어요,25
350,화랑대 철도공원,뷰가 좋아요,25
351,화랑대 철도공원,사진이 잘 나와요,15
352,화랑대 철도공원,관리가 잘 되어있어요,14
353,화랑대 철도공원,주차하기 편해요,13
354,화랑대 철도공원,붐비지 않아요,8
355,화랑대 철도공원,편의시설이 잘 되어있어요,6
356,화랑대 철도공원,아이와 가기 좋아요,6
357,화랑대 철도공원,방문객이 많아요,5
358,화랑대 철도공원,자연 경관이 좋아요,3
359,화랑대 철도공원,컨셉이 독특해요,2
360,화랑대 철도공원,반려동물과 가기 좋아요,2
361,화랑대 철도공원,먹거리가 풍부해요,1
362,화랑대 철도공원,근처에 갈 곳이 많아요,1
363,화랑대 철도공원,가격이 합리적이에요,1
364,화랑대 철도공원,체험 프로그램이 다양해요,1
365,화랑대 철도공원,유익해요,1
366,청계천,뷰가 좋아요,160
367,청계천,사진이 잘 나와요,104
368,청계천,볼거리가 많아요,69
369,청계천,근처에 갈 곳이 많아요,52
370,청계천,경관이 독특해요,47
371,청계천,산책로가 잘 되어있어요,37
372,청계천,대중교통이 편해요,33
373,청계천,붐비지 않아요,30
374,청계천,방문객이 많아요,25
375,청계천,관리가 잘 되어있어요,17
376,청계천,조용히 쉬기 좋아요,15
377,청계천,아이와 가기 좋아요,7
378,청계천,피크닉하기 좋아요,7
379,청계천,코스가 길어요,5
380,청계천,편의시설이 잘 되어있어요,5
381,청계천,반려동물과 가기 좋아요,4
382,청계천,신기한 식물이 많아요,3
383,청계천,규모가 커요,3
384,청계천,주차하기 편해요,2
385,청계천,먹거리가 풍부해요,1
386,청계천,화장실이 깨끗해요,1
387,서래마을,친절해요,56
388,서래마을,자연 경관이 좋아요,19
389,서래마을,가격이 합리적이에요,15
390,서래마을,먹거리가 풍부해요,14
391,서래마을,관리가 잘 되어있어요,14
392,서래마을,볼거리가 많아요,12
393,서래마을,주차하기 편해요,9
394,서래마을,유익해요,8
395,서래마을,화장실이 깨끗해요,6
396,서래마을,체험 프로그램이 다양해요,3
397,서래마을,붐비지 않아요,2
398,서래마을,아이와 가기 좋아요,1
399,경희궁,사진이 잘 나와요,29
400,경희궁,붐비지 않아요,29
401,경희궁,산책로가 잘 되어있어요,21
402,경희궁,관리가 잘 되어있어요,13
403,경희궁,아이와 가기 좋아요,13
404,경희궁,뷰가 좋아요,12
405,경희궁,대중교통이 편해요,7
406,경희궁,볼거리가 많아요,6
407,경희궁,주차하기 편해요,6
408,경희궁,반려동물과 가기 좋아요,6
409,경희궁,가격이 합리적이에요,5
410,경희궁,설명이 잘 되어있어요,4
411,경희궁,근처에 갈 곳이 많아요,4
412,경희궁,경관이 독특해요,1
413,경희궁,화장실이 깨끗해요,1
414,서울로 7017,뷰가 좋아요,21
415,서울로 7017,산책로가 잘 되어있어요,20
416,서울로 7017,사진이 잘 나와요,12
417,서울로 7017,관리가 잘 되어있어요,9
418,서울로 7017,볼거리가 많아요,6
419,서울로 7017,방문객이 많아요,5
420,서울로 7017,근처에 갈 곳이 많아요,5
421,서울로 7017,대중교통이 편해요,3
422,서울로 7017,자연 경관이 좋아요,3
423,서울로 7017,붐비지 않아요,3
424,서울로 7017,컨셉이 독특해요,1
425,서울로 7017,아이와 가기 좋아요,1
426,돈의문박물관마을,볼거리가 많아요,37
427,돈의문박물관마을,체험 프로그램이 다양해요,37
428,돈의문박물관마을,관리가 잘 되어있어요,23
429,돈의문박물관마을,아이와 가기 좋아요,21
430,돈의문박물관마을,자연 경관이 좋아요,8
431,돈의문박물관마을,유익해요,7
432,돈의문박물관마을,근처에 갈 곳이 많아요,6
433,돈의문박물관마을,사진이 잘 나와요,6
434,돈의문박물관마을,가격이 합리적이에요,6
435,돈의문박물관마을,화장실이 깨끗해요,6
436,돈의문박물관마을,붐비지 않아요,6
437,돈의문박물관마을,대중교통이 편해요,5
438,돈의문박물관마을,방문객이 많아요,2
439,돈의문박물관마을,친절해요,2
440,돈의문박물관마을,규모가 커요,2
441,돈의문박물관마을,컨셉이 독특해요,1
442,돈의문박물관마을,편의시설이 잘 되어있어요,1
443,돈의문박물관마을,피크닉하기 좋아요,1
444,돈의문박물관마을,산책로가 잘 되어있어요,1
445,덕수궁 돌담길,산책로가 잘 되어있어요,21
446,덕수궁 돌담길,뷰가 좋아요,18
447,덕수궁 돌담길,사진이 잘 나와요,15
448,덕수궁 돌담길,방문객이 많아요,8
449,덕수궁 돌담길,볼거리가 많아요,7
450,덕수궁 돌담길,자연 경관이 좋아요,7
451,덕수궁 돌담길,대중교통이 편해요,6
452,덕수궁 돌담길,관리가 잘 되어있어요,4
453,덕수궁 돌담길,근처에 갈 곳이 많아요,4
454,덕수궁 돌담길,조용히 쉬기 좋아요,2
455,덕수궁 돌담길,아이와 가기 좋아요,2
456,덕수궁 돌담길,붐비지 않아요,2
457,덕수궁 돌담길,규모가 커요,1
458,망원시장,친절해요,34
459,망원시장,가성비가 좋아요,34
460,망원시장,종류가 다양해요,29
461,망원시장,주차하기 편해요,24
462,망원시장,특색 있는 제품이 많아요,22
463,망원시장,품질이 좋아요,14
464,망원시장,시설이 깔끔해요,10
465,망원시장,볼거리가 많아요,9
466,망원시장,분위기가 편안해요,6
467,망원시장,먹거리가 풍부해요,5
468,망원시장,비싼 만큼 가치있어요,5
469,망원시장,매장이 넓어요,4
470,망원시장,편의시설이 잘 되어있어요,2
471,망원시장,트렌디해요,2
472,망원시장,컨셉이 독특해요,1
473,여의도한강공원,뷰가 좋아요,222
474,여의도한강공원,산책로가 잘 되어있어요,133
475,여의도한강공원,사진이 잘 나와요,112
476,여의도한강공원,방문객이 많아요,80
477,여의도한강공원,볼거리가 많아요,76
478,여의도한강공원,관리가 잘 되어있어요,68
479,여의도한강공원,편의시설이 잘 되어있어요,47
480,여의도한강공원,주차하기 편해요,32
481,여의도한강공원,붐비지 않아요,23
482,여의도한강공원,먹거리가 풍부해요,22
483,여의도한강공원,피크닉하기 좋아요,22
484,여의도한강공원,자연 경관이 좋아요,21
485,여의도한강공원,규모가 커요,12
486,여의도한강공원,대중교통이 편해요,11
487,여의도한강공원,친절해요,9
488,여의도한강공원,가격이 합리적이에요,9
489,여의도한강공원,아이와 가기 좋아요,7
490,여의도한강공원,근처에 갈 곳이 많아요,6
491,여의도한강공원,반려동물과 가기 좋아요,6
492,여의도한강공원,조용히 쉬기 좋아요,4
493,여의도한강공원,체험 프로그램이 다양해요,2
494,여의도한강공원,트렌디해요,2
495,여의도한강공원,화장실이 깨끗해요,1
496,여의도한강공원,유익해요,1
497,남산골한옥마을,체험 프로그램이 다양해요,236
498,남산골한옥마을,아이와 가기 좋아요,178
499,남산골한옥마을,사진이 잘 나와요,176
500,남산골한옥마을,볼거리가 많아요,143
501,남산골한옥마을,산책로가 잘 되어있어요,102
502,남산골한옥마을,설명이 잘 되어있어요,94
503,남산골한옥마을,가격이 합리적이에요,85
504,남산골한옥마을,관리가 잘 되어있어요,76
505,남산골한옥마을,붐비지 않아요,62
506,남산골한옥마을,뷰가 좋아요,52
507,남산골한옥마을,대중교통이 편해요,20
508,남산골한옥마을,근처에 갈 곳이 많아요,16
509,남산골한옥마을,방문객이 많아요,11
510,남산골한옥마을,경관이 독특해요,11
511,남산골한옥마을,화장실이 깨끗해요,9
512,남산골한옥마을,주차하기 편해요,3
513,남산골한옥마을,규모가 커요,3
514,남산골한옥마을,편의시설이 잘 되어있어요,2
515,남산골한옥마을,야경이 멋져요,2
516,남산골한옥마을,반려동물과 가기 좋아요,1
517,경의선숲길,산책로가 잘 되어있어요,46
518,경의선숲길,뷰가 좋아요,35
519,경의선숲길,사진이 잘 나와요,28
520,경의선숲길,볼거리가 많아요,19
521,경의선숲길,관리가 잘 되어있어요,15
522,경의선숲길,방문객이 많아요,13
523,경의선숲길,먹거리가 풍부해요,8
524,경의선숲길,붐비지 않아요,7
525,경의선숲길,근처에 갈 곳이 많아요,6
526,경의선숲길,대중교통이 편해요,6
527,경의선숲길,자연 경관이 좋아요,6
528,경의선숲길,규모가 커요,3
529,경의선숲길,편의시설이 잘 되어있어요,2
530,경의선숲길,조용히 쉬기 좋아요,1
531,경의선숲길,아이와 가기 좋아요,1
532,서울공예박물관,전시 구성이 알차요,135
533,서울공예박물관,유익해요,134
534,서울공예박물관,전시 테마가 재밌어요,82
535,서울공예박물관,공간이 넓어요,51
536,서울공예박물관,설명이 잘 되어있어요,48
537,서울공예박물관,사진이 잘 나와요,37
538,서울공예박물관,가격이 합리적이에요,34
539,서울공예박물관,체험 프로그램이 다양해요,31
540,서울공예박물관,아이와 가기 좋아요,30
541,서울공예박물관,주차하기 편해요,6
542,서울공예박물관,뷰가 좋아요,2
543,서울공예박물관,컨셉이 독특해요,1
544,AK PLAZA 홍대,종류가 다양해요,231
545,AK PLAZA 홍대,가성비가 좋아요,222
546,AK PLAZA 홍대,친절해요,203
547,AK PLAZA 홍대,특색 있는 제품이 많아요,182
548,AK PLAZA 홍대,품질이 좋아요,122
549,AK PLAZA 홍대,매장이 넓어요,112
550,AK PLAZA 홍대,시설이 깔끔해요,103
551,AK PLAZA 홍대,분위기가 편안해요,59
552,AK PLAZA 홍대,비싼 만큼 가치있어요,28
553,AK PLAZA 홍대,주차하기 편해요,24
554,AK PLAZA 홍대,트렌디해요,23
555,AK PLAZA 홍대,예쁜 소품이 많아요,12
556,AK PLAZA 홍대,아기자기해요,9
557,AK PLAZA 홍대,신상품이 많아요,6
558,AK PLAZA 홍대,독특한 디자인이 많아요,5
559,AK PLAZA 홍대,컨셉이 독특해요,4
560,AK PLAZA 홍대,고급스러워요,2
561,AK PLAZA 홍대,인테리어가 멋져요,1
562,AK PLAZA 홍대,사이즈가 다양해요,1
563,서대문형무소역사관,유익해요,1204
564,서대문형무소역사관,전시 구성이 알차요,608
565,서대문형무소역사관,설명이 잘 되어있어요,540
566,서대문형무소역사관,아이와 가기 좋아요,336
567,서대문형무소역사관,공간이 넓어요,251
568,서대문형무소역사관,가격이 합리적이에요,202
569,서대문형무소역사관,전시 테마가 재밌어요,162
570,서대문형무소역사관,주차하기 편해요,147
571,서대문형무소역사관,체험 프로그램이 다양해요,139
572,서대문형무소역사관,사진이 잘 나와요,80
573,서대문형무소역사관,컨셉이 독특해요,2
574,서대문형무소역사관,화장실이 깨끗해요,1
575,광장시장,친절해요,8
576,광장시장,볼거리가 많아요,6
577,광장시장,방문객이 많아요,3
578,광장시장,먹거리가 풍부해요,3
579,광장시장,품질이 좋아요,3
580,광장시장,종류가 다양해요,3
581,광장시장,컨셉이 독특해요,2
582,광장시장,가성비가 좋아요,2
583,광장시장,분위기가 편안해요,1
584,광장시장,야시장이 잘 되어있어요,1
585,광장시장,비싼 만큼 가치있어요,1
586,광장시장,규모가 커요,1
587,광장시장,트렌디해요,1
588,반포대교 달빛무지개분수,뷰가 좋아요,49
589,반포대교 달빛무지개분수,방문객이 많아요,32
590,반포대교 달빛무지개분수,사진이 잘 나와요,28
591,반포대교 달빛무지개분수,산책로가 잘 되어있어요,22
592,반포대교 달빛무지개분수,볼거리가 많아요,19
593,반포대교 달빛무지개분수,관리가 잘 되어있어요,8
594,반포대교 달빛무지개분수,주차하기 편해요,6
595,반포대교 달빛무지개분수,피크닉하기 좋아요,5
596,반포대교 달빛무지개분수,편의시설이 잘 되어있어요,2
597,반포대교 달빛무지개분수,먹거리가 풍부해요,2
598,반포대교 달빛무지개분수,규모가 커요,2
599,반포대교 달빛무지개분수,조용히 쉬기 좋아요,1
600,반포대교 달빛무지개분수,아이와 가기 좋아요,1
601,반포대교 달빛무지개분수,자연 경관이 좋아요,1
602,반포대교 달빛무지개분수,트렌디해요,1
603,반포대교 달빛무지개분수,붐비지 않아요,1
604,반포대교 달빛무지개분수,유익해요,1
605,세빛섬,뷰가 좋아요,41
606,세빛섬,사진이 잘 나와요,26
607,세빛섬,주차하기 편해요,13
608,세빛섬,경관이 독특해요,13
